Rank,Name,Team,Position,Opponent,HomeOrAway,BattingOrder,AtBats,Runs,Hits,Doubles,Triples,HomeRuns,RunsBattedIn,Walks,Strikeouts,StolenBases,CaughtStealing,BattingAverage,OnBasePercentage,FantasyPointsDraftKings
184,Nick Ahmed,ARI,SS,PIT,AWAY,6,3.7,0.48,0.9,0.18,0.02,0.15,0.4,0.29,0.74,0.06,0.04,0.25,0.25,6.91
185,Dansby Swanson,ATL,SS,BAL,HOME,7,3.67,0.48,0.95,0.2,0.02,0.1,0.46,0.39,0.92,0.03,0.02,0.25,0.25,6.9
185,Max Kepler,MIN,RF,TEX,HOME,7,3.6,0.47,0.88,0.2,0.02,0.13,0.47,0.38,0.77,0.03,0.02,0.25,0.25,6.9
185,Michael Hermosillo,LAA,CF,TOR,HOME,9,3.47,0.47,0.9,0.18,0.02,0.13,0.45,0.33,0.8,0.05,0.02,0.333,0.25,6.9
188,Adam Duvall,CIN,LF,CHC,HOME,5,3.76,0.46,0.8,0.19,0.02,0.13,0.59,0.35,1.11,0.04,0.01,0.25,0.25,6.89
189,Jose Osuna,PIT,1B,ARI,HOME,6,3.64,0.52,0.91,0.2,0.03,0.12,0.53,0.25,0.55,0.02,0.01,0.25,0.25,6.88
189,Victor Martinez,DET,DH,CLE,AWAY,4,3.78,0.45,0.99,0.19,0.01,0.11,0.49,0.35,0.59,0.01,0,0.25,0.25,6.88
191,Yuli Gurriel,HOU,1B,KC,HOME,5,3.85,0.51,1,0.21,0.01,0.08,0.52,0.25,0.47,0.04,0.01,0.25,0.25,6.87
192,Albert Almora Jr.,CHC,CF,CIN,AWAY,7,3.59,0.51,1.04,0.2,0.02,0.09,0.42,0.29,0.72,0.02,0.02,0.25,0.25,6.83
193,Marwin Gonzalez,HOU,LF,KC,HOME,7,3.53,0.46,0.9,0.17,0.01,0.1,0.55,0.34,0.86,0.05,0.02,0.25,0.25,6.82
193,Rafael Lopez,SD,C,SF,AWAY,8,3.42,0.47,0.86,0.16,0.01,0.14,0.48,0.34,1.21,0.05,0.02,0.333,0.25,6.82
195,Orlando Arcia,MIL,SS,STL,HOME,8,3.64,0.39,0.99,0.17,0.01,0.11,0.41,0.29,0.73,0.09,0.03,0.25,0.25,6.8
196,Alex Blandino,CIN,2B,CHC,HOME,2,3.91,0.52,1.01,0.19,0.02,0.08,0.39,0.35,1.02,0.02,0.02,0.25,0.25,6.79
