Rank,Name,Team,Position,Opponent,HomeOrAway,BattingOrder,AtBats,Runs,Hits,Doubles,Triples,HomeRuns,RunsBattedIn,Walks,Strikeouts,StolenBases,CaughtStealing,BattingAverage,OnBasePercentage,FantasyPointsDraftKings
11,Charlie Blackmon,COL,CF,MIA,HOME,2,3.9,0.63,1.17,0.18,0.04,0.18,0.59,0.46,0.82,0.07,0.04,0.25,0.5,9.14
13,Freddie Freeman,ATL,1B,BAL,HOME,3,4.06,0.59,1.1,0.22,0.02,0.16,0.68,0.55,0.86,0.08,0.03,0.25,0.4,9.1
14,Dee Gordon,SEA,2B,BOS,AWAY,1,4.3,0.56,1.36,0.22,0.04,0.07,0.31,0.19,0.63,0.33,0.07,0.25,0.4,9.08
14,Eddie Rosario,MIN,LF,TEX,HOME,2,4.24,0.61,1.22,0.23,0.01,0.21,0.59,0.3,0.9,0.08,0.04,0.25,0.4,9.08
16,Starling Marte,PIT,CF,ARI,HOME,3,3.96,0.57,1.2,0.19,0.03,0.14,0.44,0.31,0.86,0.23,0.06,0.25,0.5,9.06
17,Andrew Benintendi,BOS,CF,SEA,HOME,2,4.07,0.63,1.08,0.22,0.03,0.13,0.62,0.48,0.82,0.14,0.03,0.25,0.4,8.96
18,Eric Thames,MIL,LF,STL,HOME,1,4.12,0.59,1.05,0.22,0.03,0.23,0.54,0.49,1.41,0.05,0.02,0.25,0.4,8.92
19,Austin Meadows,PIT,RF,ARI,HOME,2,4.05,0.57,1.13,0.22,0.03,0.18,0.52,0.36,0.73,0.12,0.02,0.25,0.5,8.8
20,Lorenzo Cain,MIL,CF,STL,HOME,3,3.94,0.62,1.18,0.2,0.02,0.13,0.42,0.52,0.72,0.13,0.02,0.25,0.5,8.78
21,Justin Upton,LAA,LF,TOR,HOME,3,4.03,0.57,0.98,0.19,0.01,0.22,0.7,0.43,1.23,0.08,0.03,0.25,0.25,8.77
22,Ozzie Albies,ATL,2B,BAL,HOME,2,4.21,0.61,1.07,0.21,0.02,0.19,0.55,0.32,0.74,0.12,0.03,0.25,0.2,8.72
23,Whit Merrifield,KC,2B,HOU,AWAY,1,4.06,0.53,1.12,0.24,0.02,0.1,0.5,0.4,0.73,0.22,0.04,0.25,0.4,8.7
24,Jose Abreu,CHW,1B,OAK,HOME,3,4.05,0.54,1.18,0.26,0.03,0.18,0.63,0.28,0.78,0.03,0,0.25,0.5,8.68
25,Kevin Kiermaier,TB,CF,NYY,HOME,1,4.11,0.54,1.11,0.19,0.03,0.17,0.44,0.33,0.93,0.18,0.04,0.25,0.25,8.67
26,Cesar Hernandez,PHI,2B,WSH,AWAY,1,3.97,0.58,1.19,0.2,0.03,0.12,0.36,0.6,0.88,0.11,0.05,0.25,0.4,8.65
27,Ender Inciarte,ATL,CF,BAL,HOME,1,4.26,0.56,1.29,0.2,0.03,0.1,0.41,0.37,0.62,0.16,0.06,0.25,0.4,8.64
28,DJ LeMahieu,COL,2B,MIA,HOME,1,4.07,0.55,1.33,0.21,0.02,0.13,0.48,0.41,0.58,0.05,0.03,0.25,0.4,8.61
29,Christian Yelich,MIL,RF,STL,HOME,2,4.05,0.61,1.08,0.2,0.02,0.13,0.56,0.48,0.91,0.11,0.02,0.25,0.4,8.58
29,Jose Altuve,HOU,2B,KC,HOME,3,3.99,0.54,1.23,0.21,0.02,0.11,0.49,0.33,0.56,0.16,0.03,0.25,0.5,8.58
29,George Springer,HOU,RF,KC,HOME,1,4.02,0.65,1.08,0.21,0.01,0.18,0.55,0.42,0.89,0.05,0.04,0.25,0.5,8.58
32,Shin-Soo Choo,TEX,DH,MIN,AWAY,1,4.01,0.56,1.09,0.22,0.01,0.17,0.52,0.48,0.99,0.07,0.02,0.25,0.4,8.54
33,Gary Sanchez,NYY,C,TB,AWAY,5,3.81,0.59,1,0.21,0.01,0.22,0.67,0.39,0.97,0.02,0.01,0.25,0.25,8.53
33,Mitch Haniger,SEA,RF,BOS,AWAY,2,4.02,0.55,1.06,0.21,0.02,0.2,0.58,0.4,1.02,0.05,0.03,0.25,0.5,8.53
33,Elvis Andrus,TEX,SS,MIN,AWAY,2,4.13,0.52,1.18,0.22,0.02,0.14,0.55,0.31,0.6,0.13,0.04,0.25,0.5,8.53
36,Brandon Nimmo,NYM,LF,LAD,HOME,1,3.94,0.58,1.03,0.22,0.04,0.15,0.46,0.55,1.18,0.08,0.02,0.25,0.4,8.52
37,Edwin Encarnacion,CLE,DH,DET,HOME,4,3.91,0.58,0.99,0.2,0.01,0.23,0.65,0.42,0.91,0.02,0,0.25,0.25,8.51
38,Dustin Fowler,OAK,CF,CHW,AWAY,1,4.09,0.54,1.07,0.19,0.02,0.16,0.58,0.34,0.65,0.13,0.04,0.25,0.25,8.5
38,Jesus Aguilar,MIL,1B,STL,HOME,5,3.87,0.56,1.06,0.2,0.01,0.21,0.66,0.38,1.17,0.02,0.01,0.25,0.25,8.5
38,Dustin Fowler,OAK,CF,CHW,AWAY,1,4.09,0.54,1.07,0.19,0.02,0.16,0.58,0.34,0.65,0.13,0.04,0.25,0.25,8.5
41,Matt Olson,OAK,1B,CHW,AWAY,5,3.78,0.51,1,0.21,0.01,0.25,0.58,0.4,1.09,0.03,0.02,0.25,0.25,8.47
42,Kris Bryant,CHC,3B,CIN,AWAY,1,3.85,0.57,1.06,0.23,0.03,0.16,0.53,0.51,0.83,0.03,0.03,0.25,0.5,8.46
42,Yoan Moncada,CHW,2B,OAK,HOME,1,4.07,0.57,1.04,0.21,0.03,0.17,0.48,0.46,1.41,0.1,0.02,0.25,0.4,8.46
44,Jose Abreu,CHW,1B,OAK,HOME,3,3.97,0.53,1.15,0.25,0.03,0.17,0.62,0.27,0.76,0.03,0,0.25,0.5,8.44
45,Alex Bregman,HOU,3B,KC,HOME,2,3.91,0.55,1.04,0.23,0.02,0.13,0.54,0.5,0.71,0.11,0.03,0.25,0.5,8.42
46,Wil Myers,SD,LF,SF,AWAY,2,3.93,0.55,0.98,0.22,0.02,0.18,0.5,0.44,1.22,0.12,0.04,0.25,0.25,8.4
47,Travis Shaw,MIL,3B,STL,HOME,4,3.9,0.58,0.96,0.2,0.01,0.2,0.64,0.49,0.95,0.04,0,0.25,0.25,8.39
48,Justin Turner,LAD,3B,NYM,AWAY,3,3.93,0.51,1.09,0.22,0.01,0.16,0.6,0.42,0.6,0.05,0.01,0.25,0.5,8.35
49,Daniel Murphy,WSH,1B,PHI,HOME,5,3.79,0.55,1.1,0.2,0.02,0.15,0.66,0.42,0.49,0.03,0.01,0.25,0.5,8.34
49,Manny Machado,BAL,SS,ATL,AWAY,3,3.95,0.54,1.06,0.2,0.01,0.2,0.59,0.38,0.71,0.05,0.02,0.25,0.25,8.34
51,Giancarlo Stanton,NYY,RF,TB,AWAY,3,3.97,0.59,0.94,0.2,0.01,0.2,0.7,0.41,1.09,0.03,0.01,0.25,0.25,8.32
52,Ian Kinsler,LAA,2B,TOR,HOME,1,4.26,0.54,1.06,0.22,0.02,0.18,0.44,0.36,0.63,0.11,0.04,0.25,0.2,8.31
53,Rhys Hoskins,PHI,LF,WSH,AWAY,2,3.79,0.54,0.91,0.21,0.01,0.16,0.6,0.67,1.16,0.05,0.02,0.25,0.4,8.29
54,Tim Anderson,CHW,SS,OAK,HOME,1,4.14,0.56,1.12,0.2,0.03,0.16,0.44,0.29,1.16,0.12,0.01,0.25,0.25,8.27
55,Leonys Martin,DET,CF,CLE,AWAY,1,4.12,0.62,1.05,0.22,0.03,0.14,0.41,0.36,1.09,0.14,0.05,0.25,0.2,8.26
56,Matt Olson,OAK,1B,CHW,AWAY,5,3.71,0.5,0.97,0.2,0.01,0.24,0.57,0.4,1.08,0.03,0.02,0.25,0.25,8.25
57,Didi Gregorius,NYY,SS,TB,AWAY,4,3.95,0.58,1.04,0.18,0.01,0.18,0.59,0.37,0.6,0.06,0.01,0.25,0.25,8.23
57,Brett Gardner,NYY,LF,TB,AWAY,1,4.08,0.61,1.07,0.21,0.03,0.1,0.44,0.45,0.79,0.13,0.03,0.25,0.4,8.23
57,Brian Dozier,MIN,2B,TEX,HOME,3,4,0.55,1.01,0.2,0.03,0.17,0.55,0.44,0.94,0.06,0.03,0.25,0.25,8.23
60,Joey Votto,CIN,1B,CHC,HOME,3,3.72,0.57,1.07,0.2,0.02,0.12,0.55,0.59,0.52,0.03,0.01,0.25,0.5,8.22
61,Mitch Moreland,BOS,1B,SEA,HOME,4,3.99,0.6,1,0.23,0.02,0.2,0.56,0.36,0.92,0.02,0,0.25,0.25,8.2
62,Josh Harrison,PIT,2B,ARI,HOME,1,4.18,0.54,1.18,0.22,0.02,0.14,0.45,0.26,0.71,0.09,0.03,0.25,0.4,8.19
63,Javier Baez,CHC,SS,CIN,AWAY,5,3.8,0.52,1.04,0.19,0.03,0.17,0.6,0.24,1.07,0.1,0.02,0.25,0.25,8.16
63,Craig Gentry,BAL,LF,ATL,AWAY,1,3.96,0.49,1.04,0.19,0.03,0.09,0.49,0.42,0.8,0.2,0.05,0.25,0.5,8.16
65,Nomar Mazara,TEX,RF,MIN,AWAY,3,4.01,0.56,1.03,0.21,0.02,0.18,0.64,0.35,0.96,0.02,0.01,0.25,0.25,8.15
66,Eugenio Suarez,CIN,3B,CHC,HOME,4,3.77,0.53,1.02,0.21,0.02,0.18,0.57,0.45,0.94,0.02,0.02,0.25,0.5,8.14
67,Eric Hosmer,SD,1B,SF,AWAY,3,3.87,0.54,1.13,0.22,0.01,0.12,0.59,0.46,0.76,0.04,0.02,0.25,0.5,8.12
68,Carlos Correa,HOU,SS,KC,HOME,4,3.82,0.54,1.05,0.2,0.01,0.16,0.63,0.42,0.87,0.03,0.01,0.25,0.5,8.11
69,Wilson Ramos,TB,C,NYY,HOME,3,4.05,0.5,1.17,0.2,0.01,0.18,0.61,0.28,0.73,0.01,0,0.25,0.25,8.09
70,Ian Desmond,COL,1B,MIA,HOME,5,3.8,0.51,1.07,0.19,0.02,0.15,0.49,0.32,1.01,0.12,0.04,0.25,0.25,8.06
71,Todd Frazier,NYM,3B,LAD,HOME,2,3.84,0.53,0.88,0.19,0.01,0.18,0.59,0.58,1.02,0.04,0.03,0.25,0.5,8.05
71,Jeimer Candelario,DET,3B,CLE,AWAY,2,3.92,0.58,1.02,0.22,0.03,0.15,0.51,0.45,0.96,0.03,0.01,0.25,0.5,8.05
71,Jose Martinez,STL,1B,MIL,AWAY,3,3.93,0.52,1.1,0.23,0.01,0.13,0.57,0.42,0.69,0.05,0.02,0.25,0.5,8.05
74,Jose Peraza,CIN,SS,CHC,HOME,1,4.17,0.58,1.21,0.2,0.02,0.08,0.38,0.29,0.6,0.15,0.04,0.25,0.4,8.04
74,Trevor Story,COL,SS,MIA,HOME,4,3.84,0.52,0.91,0.2,0.03,0.18,0.62,0.37,1.32,0.08,0.01,0.25,0.25,8.04
76,Juan Soto,WSH,LF,PHI,HOME,4,3.94,0.55,1.09,0.21,0.02,0.14,0.45,0.4,0.74,0.08,0.02,0.25,0.5,8.03
76,Nelson Cruz,SEA,DH,BOS,AWAY,4,3.85,0.46,1.01,0.2,0.01,0.19,0.67,0.36,0.92,0.02,0,0.25,0.25,8.03
76,Denard Span,SEA,LF,BOS,AWAY,3,3.87,0.58,1.05,0.19,0.03,0.12,0.44,0.48,0.57,0.09,0.03,0.25,0.5,8.03
79,Yasiel Puig,LAD,RF,NYM,AWAY,6,3.65,0.54,0.97,0.2,0.01,0.16,0.52,0.43,0.76,0.1,0.03,0.25,0.25,8.02
79,Gorkys Hernandez,SF,CF,SD,HOME,1,4.17,0.56,1.14,0.2,0.02,0.11,0.44,0.36,1.03,0.11,0.04,0.25,0.4,8.02
81,Khris Davis,OAK,DH,CHW,AWAY,4,3.84,0.55,0.86,0.2,0.01,0.21,0.67,0.41,1.25,0.03,0,0.25,0.25,8.01
82,Anthony Rendon,WSH,3B,PHI,HOME,3,3.94,0.48,0.99,0.23,0.01,0.13,0.66,0.49,0.64,0.05,0.02,0.25,0.5,8
82,Paul Goldschmidt,ARI,1B,PIT,AWAY,2,3.85,0.53,0.96,0.19,0.03,0.14,0.61,0.49,1.08,0.05,0.02,0.25,0.5,8
84,C.J. Cron,TB,DH,NYY,HOME,4,3.94,0.56,1.03,0.19,0.01,0.17,0.61,0.29,0.95,0.04,0.02,0.25,0.25,7.99
84,Joc Pederson,LAD,CF,NYM,AWAY,1,4.05,0.57,0.9,0.22,0.02,0.16,0.57,0.49,1.07,0.05,0.03,0.25,0.2,7.99
84,Andrew McCutchen,SF,RF,SD,HOME,3,3.9,0.53,1.02,0.23,0.02,0.13,0.56,0.46,0.81,0.06,0.02,0.25,0.5,7.99
87,Anthony Rizzo,CHC,1B,CIN,AWAY,4,3.65,0.52,0.95,0.19,0.02,0.14,0.62,0.47,0.55,0.05,0.02,0.25,0.5,7.98
87,Nicholas Castellanos,DET,RF,CLE,AWAY,3,4.06,0.52,1.1,0.24,0.04,0.15,0.59,0.25,0.95,0.03,0.02,0.25,0.25,7.98
87,Justin Smoak,TOR,1B,LAA,AWAY,2,3.92,0.54,0.93,0.22,0.01,0.15,0.6,0.63,1.09,0.01,0.01,0.25,0.4,7.98
90,Matt Kemp,LAD,LF,NYM,AWAY,4,4.06,0.53,1.11,0.22,0.01,0.18,0.61,0.26,0.96,0.01,0.01,0.25,0.25,7.97
90,Steve Pearce,TOR,LF,LAA,AWAY,1,4.1,0.56,1.03,0.23,0.02,0.17,0.55,0.37,0.86,0.01,0.02,0.25,0.2,7.97
92,Khris Davis,OAK,DH,CHW,AWAY,4,3.78,0.54,0.85,0.2,0.01,0.21,0.66,0.4,1.23,0.03,0,0.25,0.25,7.92
93,Gleyber Torres,NYY,2B,TB,AWAY,9,3.53,0.47,0.97,0.18,0.01,0.23,0.56,0.28,1.01,0.05,0.02,0.25,0.25,7.9
94,Yadier Molina,STL,C,MIL,AWAY,5,3.89,0.44,1.15,0.19,0.01,0.16,0.55,0.26,0.53,0.06,0.03,0.25,0.25,7.88
95,Nick Markakis,ATL,RF,BAL,HOME,4,3.93,0.56,1.12,0.23,0.01,0.12,0.54,0.39,0.62,0.02,0.01,0.25,0.5,7.87
95,Matt Carpenter,STL,3B,MIL,AWAY,1,3.79,0.51,0.91,0.24,0.01,0.17,0.47,0.63,0.97,0.02,0.02,0.25,0.5,7.87
97,Avisail Garcia,CHW,RF,OAK,HOME,2,4.01,0.5,1.17,0.2,0.03,0.12,0.53,0.3,0.96,0.04,0.03,0.25,0.5,7.86
98,J.T. Realmuto,MIA,C,COL,AWAY,3,4.02,0.54,1.13,0.21,0.03,0.13,0.47,0.28,0.79,0.06,0.02,0.25,0.25,7.85
99,Xander Bogaerts,BOS,SS,SEA,HOME,5,3.86,0.52,1.03,0.21,0.02,0.14,0.47,0.42,0.84,0.07,0.01,0.25,0.25,7.84
99,Justin Bour,MIA,1B,COL,AWAY,4,3.63,0.46,0.95,0.18,0.02,0.15,0.63,0.58,0.86,0.02,0,0.25,0.5,7.84
99,Derek Dietrich,MIA,LF,COL,AWAY,1,3.99,0.55,1.07,0.21,0.03,0.14,0.47,0.33,0.95,0.02,0.01,0.25,0.5,7.84
102,Yangervis Solarte,TOR,3B,LAA,AWAY,3,4.09,0.51,1.07,0.21,0.01,0.17,0.58,0.3,0.59,0.02,0.01,0.25,0.25,7.83
103,Niko Goodrum,DET,2B,CLE,AWAY,5,3.75,0.53,0.98,0.2,0.03,0.16,0.54,0.36,0.91,0.05,0.02,0.25,0.25,7.82
103,Adrian Beltre,TEX,3B,MIN,AWAY,4,3.87,0.45,1.1,0.21,0.01,0.13,0.64,0.39,0.53,0.02,0.01,0.25,0.5,7.82
105,Michael A. Taylor,WSH,CF,PHI,HOME,6,3.76,0.49,0.94,0.21,0.03,0.15,0.42,0.33,1.27,0.17,0.04,0.25,0.25,7.81
105,Marcell Ozuna,STL,LF,MIL,AWAY,4,3.96,0.5,1.1,0.18,0.02,0.14,0.63,0.31,0.87,0.03,0.01,0.25,0.25,7.81
105,Buster Posey,SF,1B,SD,HOME,2,4.06,0.54,1.17,0.22,0.01,0.09,0.54,0.37,0.52,0.04,0.01,0.25,0.5,7.81
108,Jake Lamb,ARI,3B,PIT,AWAY,3,3.71,0.53,0.84,0.19,0.02,0.15,0.63,0.57,1.08,0.04,0.02,0.25,0.25,7.79
108,Michael Conforto,NYM,CF,LAD,HOME,5,3.71,0.51,0.89,0.17,0.01,0.2,0.53,0.51,1.06,0.03,0.02,0.25,0.25,7.79
110,Cody Bellinger,LAD,1B,NYM,AWAY,5,3.81,0.52,0.87,0.19,0.03,0.16,0.6,0.44,1.1,0.07,0.02,0.25,0.25,7.77
110,Lonnie Chisenhall,CLE,RF,DET,HOME,6,3.71,0.48,1.04,0.2,0.03,0.13,0.58,0.37,0.72,0.05,0.02,0.25,0.25,7.77
110,Tom Murphy,COL,C,MIA,HOME,6,3.61,0.48,0.91,0.19,0.01,0.2,0.62,0.33,1.27,0.05,0.02,0.25,0.25,7.77
113,Max Muncy,LAD,2B,NYM,AWAY,2,3.93,0.55,0.92,0.2,0.01,0.17,0.51,0.54,0.96,0.02,0.01,0.25,0.25,7.76
113,Asdrubal Cabrera,NYM,2B,LAD,HOME,3,4.03,0.5,1.09,0.22,0.01,0.16,0.51,0.35,0.72,0.02,0.01,0.25,0.25,7.76
115,Rosell Herrera,KC,RF,HOU,AWAY,2,3.95,0.53,1.01,0.2,0.02,0.14,0.51,0.37,0.91,0.06,0.02,0.25,0.25,7.71
116,Adam Jones,BAL,CF,ATL,AWAY,2,4.18,0.55,1.16,0.23,0.01,0.15,0.49,0.2,0.77,0.02,0.01,0.25,0.25,7.7
117,Carlos Santana,PHI,1B,WSH,AWAY,4,3.74,0.53,0.9,0.22,0.02,0.13,0.55,0.57,0.6,0.03,0.01,0.25,0.5,7.66
117,Mike Moustakas,KC,3B,HOU,AWAY,3,3.96,0.5,1,0.21,0.01,0.17,0.58,0.34,0.65,0.02,0.01,0.25,0.25,7.66
119,Yonder Alonso,CLE,1B,DET,HOME,5,3.82,0.52,0.96,0.18,0.01,0.18,0.55,0.41,0.85,0.02,0,0.25,0.25,7.65
120,Matt Joyce,OAK,LF,CHW,AWAY,3,3.81,0.53,0.87,0.2,0.01,0.19,0.48,0.5,0.95,0.03,0.03,0.25,0.25,7.64
120,Marcus Semien,OAK,SS,CHW,AWAY,2,4.08,0.56,0.98,0.2,0.01,0.13,0.49,0.35,0.98,0.1,0.02,0.25,0.25,7.64
120,Travis Jankowski,SD,RF,SF,AWAY,1,4.07,0.54,1.05,0.19,0.02,0.07,0.33,0.36,1.05,0.2,0.06,0.25,0.25,7.64
123,Jonathan Villar,MIL,2B,STL,HOME,6,3.9,0.45,0.99,0.17,0.02,0.13,0.43,0.23,1.17,0.21,0.07,0.25,0.25,7.63
124,Daniel Palka,CHW,RF,OAK,HOME,5,3.82,0.5,1.01,0.18,0.04,0.14,0.49,0.3,1,0.08,0.03,0.25,0.25,7.61
125,Salvador Perez,KC,C,HOU,AWAY,4,3.96,0.51,0.97,0.19,0.01,0.2,0.58,0.23,0.81,0.02,0.01,0.25,0.25,7.6
126,Albert Pujols,LAA,1B,TOR,HOME,4,4.12,0.49,1.08,0.2,0.01,0.14,0.64,0.26,0.62,0.02,0,0.25,0.25,7.59
126,Marcus Semien,OAK,SS,CHW,AWAY,2,4.06,0.56,0.98,0.2,0.01,0.13,0.49,0.35,0.98,0.09,0.02,0.25,0.25,7.59
128,Matt Davidson,CHW,DH,OAK,HOME,4,3.85,0.44,0.89,0.19,0.01,0.2,0.59,0.41,1.32,0.02,0.01,0.25,0.25,7.58
129,Aaron Hicks,NYY,CF,TB,AWAY,6,3.64,0.51,0.9,0.19,0.02,0.13,0.47,0.47,0.76,0.1,0.04,0.25,0.25,7.55
129,Tyler Flowers,ATL,C,BAL,HOME,5,3.67,0.48,1.03,0.18,0.01,0.14,0.51,0.4,1.05,0.01,0.01,0.25,0.5,7.55
129,Andrelton Simmons,LAA,SS,TOR,HOME,6,3.79,0.5,1.06,0.2,0.02,0.08,0.5,0.36,0.34,0.11,0.03,0.25,0.25,7.55
132,Odubel Herrera,PHI,CF,WSH,AWAY,3,4.05,0.51,1.09,0.2,0.02,0.13,0.45,0.33,0.96,0.04,0.03,0.25,0.25,7.54
132,Matt Duffy,TB,3B,NYY,HOME,2,4.14,0.46,1.16,0.2,0.02,0.1,0.45,0.27,0.7,0.08,0.03,0.25,0.25,7.54
132,Brian Anderson,MIA,RF,COL,AWAY,2,3.99,0.56,1.07,0.21,0.03,0.08,0.49,0.4,0.96,0.04,0.01,0.25,0.5,7.54
135,Wilmer Flores,NYM,1B,LAD,HOME,4,3.97,0.44,1.08,0.2,0.01,0.17,0.53,0.3,0.55,0.01,0.01,0.25,0.25,7.53
136,Yolmer Sanchez,CHW,3B,OAK,HOME,2,4.15,0.53,1.06,0.2,0.05,0.1,0.5,0.25,0.94,0.07,0.05,0.25,0.25,7.52
136,Tim Anderson,CHW,SS,OAK,HOME,6,3.78,0.51,1.02,0.18,0.02,0.15,0.4,0.27,1.06,0.11,0.01,0.25,0.25,7.52
138,Greg Bird,NYY,1B,TB,AWAY,7,3.6,0.49,0.85,0.19,0.02,0.2,0.57,0.39,1.06,0.02,0.01,0.25,0.25,7.51
138,Yairo Munoz,STL,SS,MIL,AWAY,7,3.56,0.48,0.98,0.17,0.02,0.14,0.57,0.32,0.91,0.07,0.04,0.25,0.25,7.51
140,David Peralta,ARI,LF,PIT,AWAY,4,3.85,0.48,1.05,0.18,0.02,0.14,0.44,0.37,0.82,0.05,0.01,0.25,0.25,7.5
141,Joe Mauer,MIN,1B,TEX,HOME,1,4.05,0.53,1.1,0.21,0.01,0.08,0.48,0.5,0.67,0.02,0.01,0.25,0.4,7.49
142,Jarrod Dyson,ARI,CF,PIT,AWAY,7,3.47,0.44,0.93,0.16,0.04,0.09,0.34,0.33,0.52,0.24,0.05,0.333,0.25,7.48
143,Kyle Schwarber,CHC,LF,CIN,AWAY,6,3.44,0.5,0.83,0.17,0.01,0.21,0.46,0.48,1.11,0.03,0.01,0.333,0.25,7.46
143,Starlin Castro,MIA,2B,COL,AWAY,5,3.86,0.53,1.13,0.21,0.02,0.1,0.51,0.28,0.85,0.03,0,0.25,0.25,7.46
143,Kendrys Morales,TOR,DH,LAA,AWAY,4,4.04,0.46,0.98,0.19,0.01,0.15,0.6,0.37,0.93,0.02,0.01,0.25,0.25,7.46
143,Matt Davidson,CHW,DH,OAK,HOME,4,3.76,0.43,0.87,0.18,0.01,0.2,0.58,0.41,1.29,0.02,0.01,0.25,0.25,7.46
