Rank,Name,Team,Position,Opponent,HomeOrAway,Started_YN,Saves,InningsPitched,PitchingHits,PitchingRuns,PitchingEarnedRuns,PitchingHomeRuns,PitchingWalks,PitchingStrikeouts,PitchingBattingAverageAgainst,WalksHitsPerInningsPitched,FantasyPointsDraftKings
1,Chris Sale,BOS,SP,NYY,AWAY,Y,0,6.2,5.22,3.22,3.22,0,1.67,8.91,-2.5,1.057,23.82
2,Jacob deGrom,NYM,SP,MIA,AWAY,Y,0,6.1,5.44,2.19,2.19,0,1.64,8.31,-2.5,1.13,23.71
3,Justin Verlander,HOU,SP,TB,AWAY,Y,0,6.1,5.23,2.2,2.2,0,1.63,8.04,-2.5,1.095,23.54
4,Kenta Maeda,LAD,SP,COL,HOME,Y,0,6.0,4.7,1.8,1.8,0,1.74,6.93,-2.5,1.066,21.52
5,Tyler Skaggs,LAA,SP,BAL,AWAY,Y,0,5.2,5.25,2.83,2.83,0,1.57,7.29,-2.5,1.209,19.72
6,Felix Hernandez,SEA,SP,KC,HOME,Y,0,5.2,5.3,2.07,2.07,0,1.72,5.93,-2.5,1.242,17.75
7,Vince Velasquez,PHI,SP,WSH,HOME,Y,0,5.1,4.25,2.09,2.09,0,2.45,5.74,-1.333,1.291,16.62
8,Joey Lucchesi,SD,SP,PIT,HOME,Y,0,5.2,4.95,1.93,1.93,0,2.05,5.14,-2.5,1.248,16.24
9,Tyler Mahle,CIN,SP,MIL,HOME,Y,0,5.2,5.83,2.92,2.92,0,1.83,6.21,-3,1.326,16.18
10,Dereck Rodriguez,SF,SP,ARI,AWAY,Y,0,5.2,4.68,1.98,1.98,0,2.1,4.69,-2.5,1.222,15.71
11,Luke Weaver,STL,SP,ATL,HOME,Y,0,5.1,4.84,2.28,2.28,0,1.78,5.27,-2.5,1.221,15.45
12,Sam Gaviglio,TOR,SP,DET,HOME,Y,0,5.2,5.6,2.76,2.76,0,1.73,5.1,-3,1.277,14.84
13,Trevor Williams,PIT,SP,SD,AWAY,Y,0,5.2,5.47,2.93,2.93,0,1.99,5.25,-2.5,1.342,14.18
14,Carlos Rodon,CHW,SP,TEX,AWAY,Y,0,5.1,5.97,3.31,3.31,0,2.41,6.04,-2,1.536,13.93
15,Adam Plutko,CLE,SP,OAK,AWAY,Y,0,5.0,5.43,2.68,2.68,0,2.03,5.29,-2.5,1.486,13.17
16,Jeremy Hellickson,WSH,SP,PHI,AWAY,Y,0,5.1,4.92,2.72,2.72,0,1.36,4.21,-2.5,1.161,12.62
17,Jhoulys Chacin,MIL,SP,CIN,AWAY,Y,0,5.1,4.78,2.78,2.78,0,2.51,4.62,-1.667,1.351,12.56
18,Jason Hammel,KC,SP,SEA,AWAY,Y,0,5.0,5.58,2.77,2.77,0,1.22,4.68,-6,1.337,12.39
19,Ryne Stanek,TB,SP,HOU,HOME,Y,0,4.3,3.49,2.12,2.12,0,1.97,3.75,-1.5,1.112,12.25
20,Tyler Chatwood,CHC,SP,MIN,HOME,Y,0,5.0,5.52,2.94,2.94,0,2.14,4.83,-2,1.488,11.94
21,Matthew Boyd,DET,SP,TOR,AWAY,Y,0,4.3,5.87,2.82,2.82,0,1.81,4.84,-3,1.539,11.68
