P,Chris Sale,"$13,000",22.95,BOS @ TOR
P,Dylan Bundy,"$9,800",19.89,TB @ BAL
P,Kyle Hendricks,"$6,900",19.65,MIL @ CHC
P,Chris Archer,"$8,800",18.97,TB @ BAL
P,Jakob Junis,"$8,300",18.79,CWS @ KC
P,Chase Anderson,"$6,600",14.94,MIL @ CHC
P,Marco Estrada,"$5,000",11.48,BOS @ TOR
P,Lucas Giolito,"$4,500",9.44,CWS @ KC
OF,Mookie Betts,"$5,400",9.12,BOS @ TOR
OF,J.D. Martinez,"$4,800",9.00,BOS @ TOR
OF,Andrew Benintendi,"$4,200",8.51,BOS @ TOR
3B,Mike Moustakas,"$4,600",8.49,CWS @ KC
2B,Yoan Moncada,"$4,400",8.46,CWS @ KC
SS,Manny Machado,"$5,000",7.97,TB @ BAL
OF,Denard Span,"$4,000",7.91,TB @ BAL
1B,Hanley Ramirez,"$4,500",7.81,BOS @ TOR
1B,Lucas Duda,"$3,600",7.78,CWS @ KC
C,Salvador Perez,"$3,500",7.73,CWS @ KC
OF,Abraham Almonte,"$2,800",7.70,CWS @ KC
1B/OF,Trey Mancini,"$3,400",7.52,TB @ BAL
1B,Mitch Moreland,"$3,800",7.49,BOS @ TOR
SS,Tim Anderson,"$3,600",7.42,CWS @ KC
3B,Yolmer Sanchez,"$3,100",7.37,CWS @ KC
OF,Jon Jay,"$3,200",7.36,CWS @ KC
2B/SS,Eduardo Nunez,"$3,600",7.28,BOS @ TOR
C,Welington Castillo,"$3,200",7.18,CWS @ KC
3B,Rafael Devers,"$3,800",7.06,BOS @ TOR
OF,Kyle Schwarber,"$4,700",7.04,MIL @ CHC
1B/OF,Steve Pearce,"$3,200",7.00,BOS @ TOR
1B,C.J. Cron,"$4,000",6.93,TB @ BAL
OF,Carlos Gomez,"$3,300",6.79,TB @ BAL
1B,Justin Smoak,"$3,500",6.74,BOS @ TOR
2B,Javier Baez,"$4,700",6.72,MIL @ CHC
OF,Adam Jones,"$3,800",6.67,TB @ BAL
3B,Matt Davidson,"$3,400",6.60,CWS @ KC
1B,Anthony Rizzo,"$4,400",6.56,MIL @ CHC
OF,Leury Garcia,"$2,900",6.54,CWS @ KC
OF,Ryan Braun,"$4,400",6.53,MIL @ CHC
OF,Teoscar Hernandez,"$3,100",6.53,BOS @ TOR
1B/3B,Pedro Alvarez,"$3,000",6.52,TB @ BAL
OF,Christian Yelich,"$4,600",6.51,MIL @ CHC
1B,Brad Miller,"$2,900",6.43,TB @ BAL
OF,Alex Gordon,"$3,200",6.38,CWS @ KC
OF,Lorenzo Cain,"$4,500",6.36,MIL @ CHC
1B,Chris Davis,"$3,300",6.32,TB @ BAL
2B/3B,Jace Peterson,"$2,900",6.29,TB @ BAL
3B,Yangervis Solarte,"$3,200",6.12,BOS @ TOR
C,Wilson Ramos,"$3,300",6.10,TB @ BAL
OF,Jorge Soler,"$3,400",6.06,CWS @ KC
1B/3B,Danny Valencia,"$2,800",6.04,TB @ BAL
OF,Trayce Thompson,"$2,900",6.02,CWS @ KC
OF,Randal Grichuk,"$2,800",5.98,BOS @ TOR
3B,Travis Shaw,"$4,200",5.93,MIL @ CHC
OF,Mallex Smith,"$3,600",5.91,TB @ BAL
2B,Joey Wendle,"$3,100",5.91,TB @ BAL
OF,Albert Almora Jr.,"$3,700",5.90,MIL @ CHC
OF,Domingo Santana,"$3,200",5.82,MIL @ CHC
OF,Kevin Pillar,"$3,100",5.79,BOS @ TOR
2B/3B,Daniel Robertson,"$3,400",5.76,TB @ BAL
2B/SS,Ryan Goins,"$2,200",5.60,CWS @ KC
C,Victor Caratini,"$3,100",5.54,MIL @ CHC
2B,Jonathan Villar,"$3,400",5.47,MIL @ CHC
C,Christian Vazquez,"$2,200",5.40,BOS @ TOR
SS,Alcides Escobar,"$3,100",5.32,CWS @ KC
2B/SS,Brock Holt,"$3,000",5.30,BOS @ TOR
2B/3B,Tommy La Stella,"$2,200",5.27,MIL @ CHC
SS,Addison Russell,"$3,500",5.22,MIL @ CHC
OF,Anthony Santander,"$2,800",5.14,TB @ BAL
SS,Orlando Arcia,"$2,900",5.03,MIL @ CHC
SS,Adeiny Hechavarria,"$2,900",4.98,TB @ BAL
OF,Jason Heyward,"$3,400",4.76,MIL @ CHC
2B,Devon Travis,"$2,500",4.64,BOS @ TOR
OF,Adam Engel,"$2,400",4.35,CWS @ KC
C,Luke Maile,"$2,800",4.30,BOS @ TOR
C,Caleb Joseph,"$2,500",4.27,TB @ BAL
C,Jett Bandy,"$2,500",4.00,MIL @ CHC
