P,Clayton Kershaw,"$11,800",22.90,PHI @ LAD
P,Lance McCullers Jr.,"$8,900",20.25,BOS @ HOU
P,Aaron Nola,"$11,100",18.80,PHI @ LAD
P,Jose Quintana,"$7,500",17.23,CHC @ NYM
P,Sean Newcomb,"$8,100",16.46,WSH @ ATL
P,Mike Minor,"$5,000",16.12,TEX @ SEA
P,Jack Flaherty,"$9,200",15.02,PIT @ STL
P,Wade LeBlanc,"$5,500",14.82,TEX @ SEA
P,Tanner Roark,"$7,900",13.35,WSH @ ATL
P,Jordan Lyles,"$7,100",12.71,MIA @ SD
P,CC Sabathia,"$5,700",12.40,NYY @ BAL
P,Seth Lugo,"$4,000",12.07,CHC @ NYM
P,Drew Pomeranz,"$6,400",12.06,BOS @ HOU
OF,Aaron Judge,"$5,700",11.24,NYY @ BAL
P,Trevor Williams,"$7,000",11.06,PIT @ STL
P,Jake Odorizzi,"$7,700",11.05,CLE @ MIN
P,Wei-Yin Chen,"$6,100",10.56,MIA @ SD
SS,Francisco Lindor,"$4,900",9.89,CLE @ MIN
2B,Brian Dozier,"$4,000",9.74,CLE @ MIN
OF,Eddie Rosario,"$4,100",9.63,CLE @ MIN
OF,Giancarlo Stanton,"$5,000",9.55,NYY @ BAL
3B,Jose Ramirez,"$5,300",9.50,CLE @ MIN
OF,Aaron Hicks,"$3,900",9.35,NYY @ BAL
1B/3B,Miguel Sano,"$4,100",9.27,CLE @ MIN
OF,Tommy Pham,"$4,600",9.22,PIT @ STL
1B,Edwin Encarnacion,"$4,200",9.15,CLE @ MIN
OF,Bryce Harper,"$5,500",9.10,WSH @ ATL
SS,Trea Turner,"$4,500",8.99,WSH @ ATL
SS,Didi Gregorius,"$4,200",8.94,NYY @ BAL
1B,Freddie Freeman,"$5,200",8.93,WSH @ ATL
2B,Ozzie Albies,"$5,300",8.92,WSH @ ATL
OF,Ender Inciarte,"$4,100",8.86,WSH @ ATL
OF,Michael Brantley,"$4,900",8.81,CLE @ MIN
2B/3B,Matt Carpenter,"$4,100",8.80,PIT @ STL
3B,Christian Villanueva,"$4,500",8.77,MIA @ SD
1B,Logan Morrison,"$3,400",8.51,CLE @ MIN
3B/SS,Eduardo Escobar,"$3,800",8.48,CLE @ MIN
1B,Anthony Rizzo,"$4,500",8.46,CHC @ NYM
OF,George Springer,"$4,800",8.42,BOS @ HOU
OF,Hunter Renfroe,"$3,600",8.41,MIA @ SD
SS,Manny Machado,"$5,400",8.19,NYY @ BAL
3B,Alex Bregman,"$4,100",8.18,BOS @ HOU
2B/OF,Jose Pirela,"$3,300",8.16,MIA @ SD
OF,Dexter Fowler,"$3,300",8.16,PIT @ STL
3B,Anthony Rendon,"$4,000",8.16,WSH @ ATL
C,J.T. Realmuto,"$4,100",8.10,MIA @ SD
3B,Kris Bryant,"$4,900",8.05,CHC @ NYM
1B,Eric Hosmer,"$3,900",8.00,MIA @ SD
OF,Andrew Benintendi,"$4,900",7.98,BOS @ HOU
OF,J.D. Martinez,"$5,100",7.97,BOS @ HOU
OF,Starling Marte,"$4,500",7.94,PIT @ STL
1B,Justin Bour,"$3,400",7.94,MIA @ SD
1B,Jose Martinez,"$3,900",7.93,PIT @ STL
1B,Yonder Alonso,"$4,000",7.90,CLE @ MIN
OF,Nelson Cruz,"$4,000",7.86,TEX @ SEA
OF,Dee Gordon,"$3,500",7.84,TEX @ SEA
2B,Jose Altuve,"$4,900",7.84,BOS @ HOU
2B/OF,Ben Zobrist,"$3,900",7.83,CHC @ NYM
1B,Mark Reynolds,"$3,700",7.80,WSH @ ATL
OF,Nick Markakis,"$4,200",7.76,WSH @ ATL
OF,Harrison Bader,"$3,800",7.73,PIT @ STL
OF,Max Kepler,"$3,900",7.72,CLE @ MIN
SS,Jean Segura,"$4,600",7.70,TEX @ SEA
3B,Justin Turner,"$3,900",7.70,PHI @ LAD
