mlb_id,Name,Team,Opponent,Position,Batting Order,Projection,Actual,Price,Value,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,PA,Singles,Doubles,Triples,HR,R,RBI,BB,SB,CS,AVG,OBP,SLG,OPS,wOBA,ISO,IP,Wins,QS,K,CG,CGSO,ERA,FIP
592761,Caleb Smith,mia,sfn,P,,16.8715,3.6,7800,2.1630128205128205,16.8715,8.45,17.175,25.55,29.5575,36.3,42.151,32.295,19,33,46,51,60,67,17.9394,8,18,28,32,39,46,25.4816,3.5696,1.1488,0.1434,0.52,2.7304,0,2.901,0,0,,,,,,,5.9354,0.3372,0.4662,6.0472,0.0168,0.0114,3.8114364659500626,3.72454388920713
605498,Andrew Suarez,sfn,mia,P,,17.4452,20.12,6800,2.565470588235294,17.4452,9.7,18.15,25.5,29.25,35.65,42.8505,32.9584,21,35,46,51,58,65,18.8904,10,20,28,32,39,45,26.3044,4.1982,1.2128,0.1982,0.514,2.6306,0,1.7712,0,0,,,,,,,6.32667,0.3898,0.5678,5.5538,0.0306,0.0246,3.4582173560498655,3.2973581979145425
457705,Andrew McCutchen,sfn,mia,OF,3,8.3792,4,4300,1.948651162790698,8.3792,3,7,12,16,23,31.01,11.1456,3,9,15.7,21.7,31.2,43.103,7.1772,2,6,10,14,20,28,4.4042,0.6012,0.2328,0.029,0.1286,0.5792,0.528,0.7076,0.0528,0.0268,0.2682464967808256,0.3858135416193633,0.45127955418492666,0.8370930958042899,0.3667982834567004,0.18303305740410103,0,0,0,0.8998,0,0,,
474832,Brandon Belt,sfn,mia,1B,2,8.024,3,4300,1.8660465116279068,8.024,3,6,12,16,22,31,10.6582,3,9,15.4,21.415,29.2,41.403,6.8716,2,6,10,14,18,26,4.5024,0.5714,0.2474,0.0334,0.1192,0.6434,0.4442,0.6482,0.0284,0.0156,0.25203673914171554,0.35971926083866385,0.42634009651808424,0.786059357356748,0.34522299218194746,0.1743033573763687,0,0,0,1.1054,0,0,,
592663,J.T. Realmuto,mia,sfn,C,3,7.8,9,4200,1.8571428571428572,7.8,3,6,12,15,21,29,10.0063,3,6.5,15.2,18.9,28.2,37.902,6.4388,2,4,10,12,18,24,4.4896,0.7724,0.246,0.0484,0.0954,0.4924,0.4992,0.3262,0.0552,0.0278,0.2791468511312869,0.33152173913043476,0.4302252966325599,0.7617470357629946,0.3302760156806842,0.15107844550127297,0,0,0,0.7776,0,0,,
605119,Brian Anderson,mia,sfn,3B,2,7.9872,4,4200,1.9017142857142857,7.9872,3,7,12,15,21,29,10.2547,3,9,15.2,18.9,28.2,37.902,6.6196,2,6,10,12,18,24,4.5962,0.7726,0.2738,0.042,0.1046,0.5922,0.4138,0.3832,0.028,0.0172,0.28317113695703783,0.3429354684304426,0.44258248279136014,0.7855179512218027,0.3406319133196989,0.15941134583432232,0,0,0,0.892,0,0,,
457763,Buster Posey,sfn,mia,1B,4,7.9646,10,3600,2.2123888888888885,7.9646,3,7,11,14,20,28,10.4957,3,9.2,15.2,18.9,27.9,38.202,6.7364,2,6,10,12,18,24,4.306,0.7608,0.2566,0.0096,0.0834,0.533,0.569,0.5802,0.0248,0.0182,0.2980299532986204,0.39261495587552253,0.4392076869397177,0.8318226428152402,0.3657675336739434,0.14117773364109726,0,0,0,0.527,0,0,,
516770,Starlin Castro,mia,sfn,2B,1,7.6874,0,3600,2.135388888888889,7.6874,3,6,11,14.15,21,27,9.65324,3,6.5,13,18.7,27.7,35.2,6.2364,2,4,8,12,18,22,4.7072,0.9346,0.2518,0.0284,0.0926,0.5512,0.3768,0.2512,0.0226,0.0182,0.2934021543985637,0.3311097892590074,0.425,0.7561097892590074,0.32795785180149556,0.13159784560143628,0,0,0,0.795,0,0,,
571506,Justin Bour,mia,sfn,1B,4,6.9706,2,3400,2.0501764705882355,6.9706,2,5,10,14,21,28,9.21078,3,6.2,12.5,18.7,28.2,38.1,5.9036,2,4,8,12,18,24,4.3882,0.6418,0.1492,0.012,0.1216,0.4604,0.5266,0.4846,0.0088,0.005,0.23685828466031356,0.32113395013900914,0.3746797827646275,0.6958137329036367,0.30808773529009614,0.13782149810431393,0,0,0,0.9876,0,0,,
605412,Joe Panik,sfn,mia,2B,6,6.4532,7,3400,1.898,6.4532,2,5,9,12,18,25,8.41074,3,6.2,12.2,15.7,25.2,34.4,5.3912,2,4,8,10,16,22,4.0956,0.6856,0.1552,0.0446,0.0528,0.3792,0.4962,0.4264,0.0264,0.0132,0.2556960645372288,0.3331868346518214,0.36547476289109343,0.6986615975429149,0.309888368004688,0.10977869835386461,0,0,0,0.4058,0,0,,
467055,Pablo Sandoval,sfn,mia,1B,7,6.3734,16,3300,1.9313333333333336,6.3734,2,5,9,13,19,27,8.35478,3,6,12.2,16,25.7,35.717,5.358,2,4,8,10,16,22.02,3.9898,0.5812,0.1904,0.0088,0.1034,0.3704,0.4874,0.3804,0.0194,0.01,0.2448606416578933,0.3168579878690662,0.38843021000720346,0.7052881978762697,0.30981888816482034,0.14356956834931014,0,0,0,0.8418,0,0,,
607776,Mac Williamson,sfn,mia,OF,5,7.4418,7,3300,2.2550909090909093,7.4418,2,5,11,16,22,31,9.95022,3,6.5,13.2,21.7,28.9,41.403,6.3576,2,4,8,14,18,26,4.2098,0.5462,0.1828,0.0204,0.1448,0.4776,0.6366,0.4628,0.0248,0.0164,0.23864424873231915,0.32234310418547196,0.4142514011208967,0.7365945053063687,0.3219541070834719,0.17560715238857755,0,0,0,1.1708,0,0,,
491676,Gorkys Hernandez,sfn,mia,OF,1,7.609,0,3200,2.3778125,7.609,3,7,11,14,21,28,9.79614,3,9,15,18.7,27.4,37.402,6.3404,2,6,10,12,18,24,4.6184,0.7314,0.2156,0.0328,0.0688,0.5642,0.3454,0.4876,0.1184,0.0684,0.2538491333397889,0.3326260176684566,0.3718892224266485,0.7045152400951051,0.3120226918413303,0.11804008908685959,0,0,0,1.1726,0,0,,
