mlb_id,Name,Team,Opponent,Position,Batting Order,Projection,Actual,Price,Value,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,PA,Singles,Doubles,Triples,HR,R,RBI,BB,SB,CS,AVG,OBP,SLG,OPS,wOBA,ISO,IP,Wins,QS,K,CG,CGSO,ERA,FIP
502042,Chris Archer,tba,cha,P,,23.4732,19.7,9700,2.4199175257731955,23.4732,14.85,24.2,32.2,36.45,43.8,50.85,42.02,29,44,56,61,69,76,24.9544,16,26,35,39,46,52,27.2983,3.7178,0.9158,0.1626,0.693,2.4281,0,2.4918,0,0,,,,,,,6.63487,0.4511,0.6423,7.8571,0.0738,0.0464,3.043782319774163,3.273083661021241
456068,Miguel Gonzalez,cha,tba,P,,15.5604,-4.78,6800,2.288294117647059,15.5604,7.35,15.5,23.55,27.85,35.15,42.85,30.5474,18,32,43,49,56,64,16.7918,8,17,26,31,37,43,27.9313,4.1148,1.2446,0.1843,0.7309,2.8877,0,2.3592,0,0,,,,,,,6.6596,0.3116,0.5996,4.7774,0.0797,0.0434,3.618055138446753,4.2117930806655055
547989,Jose Abreu,cha,tba,1B,3,7.7764,4,4400,1.7673636363636362,7.7764,2,5,12,16,22,31,10.1454,3,6.5,15.4,21.7,29.2,40.902,6.5126,2,4,10,14,18,26,4.3063,0.6576,0.2017,0.017,0.1805,0.4835,0.5595,0.3603,0.0095,0.0088,0.2678155093765839,0.32907600492301975,0.46477445514445004,0.7938504600674698,0.34224078675429026,0.19695894576786616,0,0,0,0.9353,0,0,,
641313,Tim Anderson,cha,tba,SS,6,5.824,3,4200,1.3866666666666667,5.824,0,4,8,13,19,27,7.38863,0,6,10,15.7,25.2,36.7,4.7512,0,4,6,10,16,24,3.995,0.614,0.1318,0.0284,0.0912,0.3264,0.3931,0.1529,0.0878,0.0465,0.22524140444028,0.2548936170212766,0.3455401993701361,0.6004338163914127,0.26061874843554445,0.12029879492985607,0,0,0,1.3049,0,0,,
660162,Yoan Moncada,cha,tba,2B,1,7.1855,16,4100,1.752560975609756,7.1855,2,5,11,15,21,30.01,9.51454,3,6.2,13,18.7,28.4,40.9,6.1526,2,4,8,12,18,26,4.5144,0.4547,0.11,0.0282,0.1438,0.4907,0.375,0.6277,0.1242,0.0759,0.18954382895515476,0.3022328548644338,0.34335040008233203,0.6455832549467658,0.28970226386673753,0.15380657112717727,0,0,0,1.6988,0,0,,
541645,Avisail Garcia,cha,tba,OF,2,7.2166,0,3700,1.9504324324324323,7.2166,2,5,10,14,21,28,9.24963,3,6.2,12.7,18.7,27.9,37.9,5.955,2,4,8,12,18,24,4.4135,0.7563,0.1782,0.0232,0.1218,0.4884,0.4389,0.3065,0.0371,0.0268,0.2628439250060871,0.3140364789849326,0.4065010956902849,0.7205375746752175,0.313661923643367,0.1436571706841978,0,0,0,1.1902,0,0,,
570560,Yolmer Sanchez,cha,tba,2B,5,6.1911,5,3600,1.71975,6.1911,2,5,9,13,19,26,8.02074,3,6,12.2,16,25.4,34.902,5.1622,2,4,8,10,16,22,4.1102,0.5517,0.128,0.0502,0.09,0.3632,0.4096,0.3524,0.0688,0.0449,0.21818617276065783,0.2852172643666975,0.3508169673745276,0.6360342317412251,0.28005887791348355,0.13263079461386978,0,0,0,1.0462,0,0,,
622110,Matt Duffy,tba,cha,3B,5,6.9345,10,3300,2.1013636363636365,6.9345,2,5,10,14,20,27,8.87814,3,6.2,12.5,18.4,25.7,37.2,5.7066,2,4,8,12,16,24,4.357,0.7691,0.1765,0.0218,0.0821,0.4352,0.4624,0.2908,0.0745,0.0418,0.2581033889134819,0.3076199219646546,0.372805075992327,0.6804249979569816,0.2982573330273124,0.1147016870788451,0,0,0,0.675,0,0,,
547170,Nicky Delmonico,cha,tba,OF,4,6.4425,21,3200,2.01328125,6.4425,2,5,9,14,20,27,8.57792,3,6,12.2,18.7,27.9,37.4,5.5146,2,4,8,12,18,24,4.2095,0.4729,0.14,0.0181,0.1255,0.4021,0.4512,0.5392,0.0278,0.0181,0.20611394163964797,0.30780377717068536,0.35670108710459636,0.6645048642752818,0.296246466326167,0.1505871454649484,0,0,0,1.0806,0,0,,
460576,Carlos Gomez,tba,cha,OF,3,8.2364,12,3000,2.7454666666666667,8.2364,2,6,12,16,23,32,10.8839,3,9,15.7,21.7,31.2,43.9,6.9992,2,6,10,14,20,28,4.5772,0.5551,0.2182,0.0139,0.1689,0.5291,0.5586,0.5065,0.0983,0.0503,0.23487360896160367,0.31954033033295465,0.41978038175252413,0.7393207120854788,0.3225498558070436,0.18490677279092047,0,0,0,1.1942,0,0,,
