mlb_id,Name,Team,Opponent,Position,Batting Order,Projection,Actual,Price,Value,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,PA,Singles,Doubles,Triples,HR,R,RBI,BB,SB,CS,AVG,OBP,SLG,OPS,wOBA,ISO,IP,Wins,QS,K,CG,CGSO,ERA,FIP
434378,Justin Verlander,hou,ana,P,,22.2121,31.35,12000,1.8510083333333331,22.2121,12.65,22.45,31.9125,37.0575,44.25,50.5035,39.8597,25,42,55,61,68,76,23.5301,13,24,34,39,46,51,28.849,3.5618,1.2176,0.1057,1.1559,3.2284,0,2.4394,0,0,,,,,,,6.97523,0.4721,0.5767,7.5817,0.151,0.0557,3.849550480772677,4.186571784729679
545361,Mike Trout,ana,hou,OF,2,10.225,0,5600,1.8258928571428572,10.225,3,8,16,20,28,37,13.5658,3,9.2,21.7,25.2,37.4,50.4,8.754,2,6,14,16,24,32,4.5572,0.5311,0.2087,0.0317,0.2733,0.705,0.5875,0.7053,0.1212,0.0582,0.27124276331161246,0.3840296673395945,0.5547392196059089,0.9387688869455033,0.39967394452734134,0.28349645629429643,0,0,0,1.1825,0,0,,
621043,Carlos Correa,hou,ana,SS,3,9.0508,9,5200,1.7405384615384618,9.0508,3,7,14,18,24,34,12.0011,3,9.2,18.6,24.6,32.2,46.9,7.698,2,6,12,16,20,30,4.445,0.6672,0.2355,0.0119,0.1929,0.6518,0.6474,0.5233,0.0405,0.0237,0.2824030394981768,0.3668841394825647,0.49608588112298235,0.8629700206055471,0.37209856017997744,0.21368284162480555,0,0,0,1.1479,0,0,,
514888,Jose Altuve,hou,ana,2B,2,9.5752,16,5100,1.8774901960784316,9.5752,4,8,14,17,24,32.01,12.3949,6,9.5,18.4,22.2,31.4,43.601,7.9904,4,6,12,14,20,28,4.5482,0.8637,0.2578,0.0233,0.1345,0.7175,0.5316,0.4635,0.1477,0.0647,0.3131931353587779,0.3831845565278572,0.48649839645506404,0.8696829529829213,0.376523855591223,0.17330526109628613,0,0,0,0.7797,0,0,,
543807,George Springer,hou,ana,OF,1,9.4237,0,5000,1.88474,9.4237,3,7,14,18,25,35,12.4393,3,9.2,18.7,24.7,33.9,47.1,8.0048,2,6,12,16,22,30,4.6651,0.6574,0.2243,0.021,0.2199,0.7181,0.5769,0.548,0.0554,0.0331,0.272667654416944,0.35810593556408227,0.49758325034611744,0.8556891859101997,0.36823064886068896,0.22491559592917343,0,0,0,1.0967,0,0,,
607374,Nick Tropeano,ana,hou,P,,13.8175,10.67,4900,2.8198979591836735,13.8175,5.15,13.5,22.35,26.9,33.7025,41.1005,27.6932,14,27,41,48,58,67,14.4866,5,14,24,29,37,44,24.5136,3.4315,1.2768,0.1143,0.9709,3.4744,0,2.7716,0,0,,,,,,,5.5069,0.2725,0.344,5.9307,0.0093,0.0045,5.24647260709292,4.804950752692077
457708,Justin Upton,ana,hou,OF,3,7.7318,0,4300,1.798093023255814,7.7318,2,5,12,16,23,34,10.2458,3,6.2,15.7,22.2,31.4,46.9,6.5784,2,4,10,14,20,30,4.4703,0.4612,0.2035,0.0079,0.2121,0.5007,0.5562,0.3946,0.0487,0.0286,0.2170670068945212,0.28617766145448853,0.426994135976642,0.7131717974311305,0.3080054135069235,0.2099271290821208,0,0,0,1.6154,0,0,,
608324,Alex Bregman,hou,ana,3B,6,7.8928,11,4300,1.8355348837209302,7.8928,2,6,12,16,22,30,10.3896,3,9,15.4,21.515,28.7,40.9,6.6734,2,6,10,14,18,26,4.1287,0.5957,0.2428,0.0307,0.1269,0.5132,0.5538,0.4573,0.0657,0.0413,0.2713133954349839,0.35202363940223313,0.4578634853189519,0.809887124721185,0.35116850340300826,0.18655008988396798,0,0,0,0.7866,0,0,,
493329,Yuli Gurriel,hou,ana,1B,5,7.7731,6,4100,1.8958780487804878,7.7731,2,6,12,16,22,30,10.2437,3,6.5,15.5,21.7,28.9,41.4,6.5344,2,4,10,14,18,26,4.2407,0.6331,0.2871,0.008,0.14,0.5165,0.6776,0.2368,0.0225,0.0154,0.2667898798671295,0.3077322140212701,0.44738879592397407,0.7551210099452441,0.32470750112009805,0.18059891605684458,0,0,0,0.6914,0,0,,
502210,Josh Reddick,hou,ana,OF,4,9.0434,4,4000,2.26085,9.0434,3,7,14,17,24,33,11.9991,3,9.2,18.4,22.4,31.9,44.202,7.686,2,6,12,14,20,28,4.3421,0.6818,0.2196,0.0319,0.1731,0.6073,0.6973,0.5373,0.046,0.0276,0.2907905803195963,0.37854954975703,0.5017609335576114,0.8803104833146413,0.37951240183321433,0.2109703532380151,0,0,0,0.7738,0,0,,
435079,Ian Kinsler,ana,hou,2B,1,7.5724,0,3900,1.9416410256410255,7.5724,2,5,12,16,22,32,9.84089,3,6.2,15.2,20.15,28.7,41.908,6.3528,2,4,10,12.3,18,26.02,4.669,0.6002,0.1938,0.0169,0.1532,0.5427,0.4063,0.4053,0.0854,0.0529,0.226118160283322,0.293296209038338,0.38729272697422423,0.6805889360125622,0.2974072606553866,0.16117456669090224,0,0,0,0.9194,0,0,,
446359,Zack Cozart,ana,hou,2B,6,6.8289,10,3800,1.797078947368421,6.8289,2,5,10,14,21,30,8.93811,3,6,12.5,18.7,28.2,40.402,5.7484,2,4,8,12,18,26,4.1438,0.5334,0.1843,0.033,0.1388,0.4498,0.4511,0.3787,0.0192,0.0153,0.23624870521367297,0.3060475891693615,0.41332235531592787,0.7193699444852893,0.31269033254500705,0.1770736501022549,0,0,0,0.9783,0,0,,
