mlb_id,Name,Team,Opponent,Position,Batting Order,Projection,Actual,Price,Value,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,PA,Singles,Doubles,Triples,HR,R,RBI,BB,SB,CS,AVG,OBP,SLG,OPS,wOBA,ISO,IP,Wins,QS,K,CG,CGSO,ERA,FIP
457705,Andrew McCutchen,sfn,ari,OF,3,8.0364,3,3500,2.2961142857142858,8.0364,3,6,12,16,22,31,10.5735,3,9,15.4,21.4,28.9,41.601,6.7928,2,6,10,14,18,26,4.4327,0.6833,0.2179,0.0207,0.1291,0.5496,0.5488,0.5148,0.0428,0.0274,0.26825595344444736,0.3532384325580347,0.433293345925113,0.7865317784831477,0.34384023281521425,0.16503739248066562,0,0,0,0.9036,0,0,,
606466,Ketel Marte,ari,sfn,2B,2,7.6766,7,3500,2.1933142857142855,7.6766,3,7,11,14,19,27,9.79852,3,9,15.2,18.4,25.2,34.9,6.33,2,6,10,12,16,22,4.6673,0.8526,0.2289,0.0449,0.0424,0.6056,0.3648,0.3989,0.0905,0.0539,0.27382625808265393,0.3358901291967519,0.37829163152469314,0.714181760721445,0.31463835622308406,0.10446537344203921,0,0,0,0.6013,0,0,,
605113,Nick Ahmed,ari,sfn,SS,6,6.8019,0,3400,2.0005588235294116,6.8019,2,5,10,14,19,26,8.84166,3,6.2,12.5,18.2,25.5,35.2,5.6808,2,4,8,12,16,22,4.2498,0.6232,0.1908,0.0389,0.0818,0.3683,0.4936,0.3984,0.0657,0.043,0.24269096951757804,0.3136853498988188,0.376148932855585,0.6898342827544037,0.30343846769259736,0.13345796333800694,0,0,0,0.8636,0,0,,
605412,Joe Panik,sfn,ari,2B,1,7.9655,0,3300,2.4137878787878786,7.9655,3,7,12,15,21,28,10.2687,3,9,15.2,18.7,27.9,37.9,6.6252,2,6,10,12,18,24,4.6455,0.8136,0.2276,0.0415,0.0912,0.6106,0.4176,0.4589,0.0337,0.0184,0.2803945922705775,0.35147992681089224,0.41993503081259254,0.7714149576234848,0.3375378968894629,0.13954043854201503,0,0,0,0.4259,0,0,,
474832,Brandon Belt,sfn,ari,1B,2,8.7612,0,3000,2.9204000000000003,8.7612,3,7,13,16,23,32,11.6866,3.2,9.2,16,21.9,31.2,43.6,7.5342,2,6,10,14,20,28,4.529,0.5578,0.2836,0.0276,0.1467,0.6823,0.4976,0.7186,0.037,0.0308,0.26655994121352083,0.3829322146169132,0.4709741759395339,0.853906390556447,0.37160086111724444,0.20441423472601306,0,0,0,1.0139,0,0,,
446334,Evan Longoria,sfn,ari,3B,5,7.1457,0,2900,2.4640344827586205,7.1457,2,5,10,14,21,29,9.40805,3,6.5,12.7,18.7,28.205,38.7,6.014,2,4,8,12,18,24,4.2252,0.652,0.2222,0.0175,0.101,0.4745,0.5843,0.3543,0.0205,0.0141,0.2564519879097884,0.3188014768531667,0.4011728538582759,0.7199743307114426,0.3145471220297264,0.1447208659484875,0,0,0,0.7548,0,0,,
571918,Deven Marrero,ari,sfn,3B,7,5.7429,0,2800,2.0510357142857143,5.7429,2,5,8,11,17,24,7.38132,3,6,10,15.2,22.2,32.202,4.7492,2,4,6,10,14,20,4.1402,0.5976,0.1868,0.0098,0.0489,0.3076,0.392,0.295,0.0919,0.044,0.21926037657339018,0.27489010192744306,0.3110891501092271,0.5859792520366702,0.26029343993043813,0.09182877353583693,0,0,0,1.1373,0,0,,
452254,Hunter Pence,sfn,ari,OF,7,6.4575,0,2700,2.3916666666666666,6.4575,2,5,9,13,20,27,8.35751,3,6,12.2,16,25.7,37.4,5.3556,2,4,8,10,16,24,4.0085,0.6924,0.1533,0.0266,0.0924,0.3898,0.4923,0.3109,0.0182,0.0137,0.26089896148853314,0.31822377447923167,0.3917135439203808,0.7099373183996125,0.31070939254085067,0.13081458243184768,0,0,0,0.8527,0,0,,
543063,Brandon Crawford,sfn,ari,SS,6,6.676,10,2700,2.4725925925925925,6.676,2,5,10,13,19,27,8.75922,3,6.2,12.5,18.2,25.4,37.4,5.6212,2,4,8,12,16,24,4.1178,0.592,0.2064,0.0308,0.0839,0.4211,0.4864,0.4163,0.027,0.0216,0.24668377684722412,0.3228422944290641,0.38708631635823315,0.7099286107872973,0.31215260576035747,0.14040253951100903,0,0,0,0.8084,0,0,,
425772,Jeff Mathis,ari,sfn,C,8,5.1155,3,2300,2.2241304347826087,5.1155,2,4,7,10,15,22,6.68679,3,6,9.2,12.5,19.4,28.7,4.3194,2,4,6,8,12,18,4.0179,0.5193,0.1486,0.0145,0.0355,0.3007,0.2951,0.5055,0.0282,0.0211,0.20439016057396647,0.30448741880086605,0.2852750256235053,0.5897624444243714,0.27033982926404343,0.08088486504953885,0,0,0,1.0583,0,0,,
453923,Gregor Blanco,sfn,ari,OF,8,6.3949,2,2200,2.906772727272727,6.3949,2,5,9,12,18,25,8.30604,3,6.2,12.2,15.7,24,33.4,5.3682,2,4,8,10,16,22,3.8862,0.5911,0.1573,0.0455,0.0365,0.3592,0.3638,0.5443,0.1143,0.0646,0.2484814027948173,0.3537388708764345,0.35554624614740116,0.7092851170238357,0.3185793062631877,0.10706484335258384,0,0,0,0.796,0,0,,
