mlb_id,Name,Team,Opponent,Position,Batting Order,Projection,Actual,Price,Value,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,PA,Singles,Doubles,Triples,HR,R,RBI,BB,SB,CS,AVG,OBP,SLG,OPS,wOBA,ISO,IP,Wins,QS,K,CG,CGSO,ERA,FIP
572971,Dallas Keuchel,hou,kca,P,,16.0327,,9600,1.6700729166666666,16.0327,7.8,16.35,24.55,28.55,35.15,42.1015,31.0156,18,33,45,49,56,63,17.2594,8,18,27,31,37,43,28.2324,4.5562,1.4264,0.1714,0.688,3.1228,0,1.7612,0,0,,,,,,,6.7546,0.5506,0.5884,4.5804,0.1082,0.0502,3.840316228940278,3.9071258401681814
543807,George Springer,hou,kca,OF,1,10.8806,,5200,2.0924230769230765,10.8806,4,9,16,20,27,36,14.2778,6,12.2,21.7,27.7,36.7,49.8,9.19,4,8,14,18,24,32,5.0206,0.8488,0.2522,0.0216,0.2328,0.8396,0.6498,0.5948,0.0808,0.046,0.306249717565186,0.3884396287296339,0.5307966921234579,0.9192363208530918,0.3944965541967096,0.22454697455827194,0,0,0,0.7368,0,0,,
518633,Danny Duffy,kca,hou,P,,8.62387,,5100,1.6909549019607846,8.62387,1.1,8.2,16.1,20.3,26.65,33.0005,19.6298,8,18,31,38,47,55,9.1388,1,9,18,22,29,37,23.4234,3.6928,1.3406,0.1176,0.94,3.614,0,2.3268,0,0,,,,,,,5.19273,0.193,0.271,3.9448,0.0028,0.0022,5.791635613636758,5.335199136099893
514888,Jose Altuve,hou,kca,2B,3,10.7494,,5100,2.1077254901960782,10.7494,5,9,15,19,26,35,13.918,6,12.2,19.2,24.9,34.6,46.9,8.9392,4,8,12,16,22,30,4.803,1.0474,0.309,0.036,0.1264,0.7726,0.7094,0.4506,0.129,0.0478,0.34895689734399415,0.41003539454507604,0.5236191526514107,0.9336545471964868,0.4024147407870081,0.17466225530741653,0,0,0,0.5018,0,0,,
621043,Carlos Correa,hou,kca,SS,4,9.932,,4900,2.026938775510204,9.932,4,8,14,18,25,35,13.2759,6,9.7,18.9,24.9,34.7,47.4,8.4844,4,6,12,16,22,30,4.6938,0.7334,0.2604,0.0166,0.1952,0.686,0.8242,0.5868,0.0302,0.0168,0.29354760165570976,0.3818654395159572,0.5076211346481616,0.8894865741641188,0.3833164600110784,0.21407353299245185,0,0,0,0.8662,0,0,,
608324,Alex Bregman,hou,kca,3B,2,10.5014,,4700,2.234340425531915,10.5014,4,9,15,19,26,35,13.8453,6,12.2,18.9,25.2,34.7,47.9,8.908,4,8,12,16,22,30,4.9124,0.7528,0.3216,0.0468,0.1582,0.8524,0.6256,0.5888,0.109,0.0576,0.2959108150615228,0.3803029069294031,0.5017115366823943,0.8820144436117974,0.37994320495073697,0.20580072162087154,0,0,0,0.569,0,0,,
594828,Evan Gattis,hou,kca,C,6,8.904,,4300,2.0706976744186045,8.904,3,7,14,18,25,35,11.8661,3,9.2,18.7,24.7,34.2,47.9,7.5788,2,6,12,16,22,30,4.4714,0.6248,0.2118,0.0146,0.2208,0.6224,0.7468,0.4092,0.0178,0.015,0.26389641081187537,0.3312609026255759,0.486288218206883,0.8175491208324589,0.3510330992530304,0.22239180739500763,0,0,0,0.7254,0,0,,
493329,Yuli Gurriel,hou,kca,1B,5,8.774,,4000,2.1935,8.774,3,7,13,16,23,31,11.4702,3,9.2,16,21.9,31.4,42.211,7.3072,2,6,10,14,20,26.02,4.5888,0.8692,0.339,0.0112,0.1064,0.6042,0.7772,0.219,0.0234,0.0166,0.30340061330037993,0.33664574616457466,0.4591514485788824,0.795797194743457,0.3429798640167364,0.15575083527850248,0,0,0,0.4222,0,0,,
593160,Whit Merrifield,kca,hou,2B,1,8.8164,,4000,2.2041,8.8164,3,7,13,16,22,30,11.1805,3,9.2,15.7,21.4,28.7,38.702,7.2284,2,6,10,14,18,24,4.5416,0.844,0.292,0.046,0.099,0.567,0.449,0.3122,0.162,0.087,0.3028798411122145,0.35080147965474723,0.46389558802667036,0.8146970676814176,0.35167491632904707,0.16101574691445586,0,0,0,0.602,0,0,,
545358,Max Stassi,hou,kca,C,8,7.8288,,3800,2.0602105263157897,7.8288,2,6,12,16,23,32,10.5107,3,6.5,15.7,21.915,31.2,43.9,6.7284,2,4,10,14,20,28,4.2542,0.5128,0.1822,0.0088,0.1846,0.5744,0.6064,0.5042,0.0186,0.0106,0.23690666666666668,0.32734709228527104,0.4378666666666666,0.7652137589519377,0.33297602369423157,0.20095999999999994,0,0,0,1.0744,0,0,,
