DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ NYM,L 6-3,3.0,1,0,0,0,0,5,1,4,37,10,-,-,-,6.75
Jul 20,@ PHI,L 11-5,0.2,6,4,4,0,0,1,3,3,21,7,-,-,-,12.27
Jul 1,vs PIT,L 7-5,0.1,1,0,0,0,0,0,2,1,6,3,-,-,-,3.00
Jun 29,vs PIT,L 6-3,1.0,0,0,0,0,0,2,1,0,15,4,-,-,-,3.38
Jun 25,@ TEX,L 7-4,0.2,3,1,1,0,0,1,1,2,23,5,-,-,-,5.40
Jun 24,@ SF,L 3-2,1.0,1,0,0,0,0,2,2,0,18,4,-,-,-,0.00
