DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 4,@ PHI,L 4-1,2.0,2,2,2,1,1,3,1,4,45,9,-,-,-,6.06
Jun 29,vs LAA,L 7-1,5.2,9,6,6,1,2,2,9,15,84,29,-,L(2-5),-,5.94
Jun 24,@ ATL,L 7-3,4.0,7,5,5,0,2,4,8,7,93,21,-,L(2-4),-,5.44
Jun 19,@ WSH,L 9-7,4.2,5,5,5,1,3,2,2,15,80,22,33,-,-,4.82
Jun 12,vs BOS,L 6-4,3.1,5,5,5,2,4,2,2,11,73,20,28,L(2-3),-,4.13
Jun 7,@ TOR,L 5-4,6.0,5,1,1,1,2,4,7,10,99,23,60,-,-,3.07
May 30,vs WSH,L 2-0,6.0,4,1,1,1,1,2,5,15,97,23,61,L(2-2),-,3.47
May 25,@ TB,W 2-0,6.2,4,0,0,0,3,3,9,9,91,24,-,W(2-1),-,4.15
May 20,@ BOS,L 5-0,4.2,8,5,5,3,2,4,6,12,87,24,30,L(1-1),-,6.75
