Justin Upton,4600,LAA,OF,SEA,,0.755,8.02
Ian Kinsler,4300,LAA,2B,SEA,,0.999,6.66
David Fletcher,3500,LAA,3B,SEA,,0.999,5.82
Kole Calhoun,4100,LAA,OF,SEA,,0.764,8.19
Francisco Arcia,3300,LAA,C,SEA,,0,4.8
Mike Trout,5800,LAA,OF,SEA,,0.668,11.07
Guillermo Heredia,2700,SEA,OF,LAA,,0.999,4.54
Jean Segura,4500,SEA,SS,LAA,,0.775,8.58
Shohei Ohtani,4300,LAA,OF,SEA,,0.999,7.79
Mitch Haniger,4200,SEA,OF,LAA,,0.753,7.76
Nelson Cruz,4000,SEA,OF,LAA,,0.772,8.44
Mike Zunino,3100,SEA,C,LAA,,0.999,7.37
Ryon Healy,4000,SEA,1B,LAA,,0.76,7.13
Eric Thames,4500,MIL,1B/OF,SFG,,0.748,8.38
Jeff Mathis,2500,ARI,C,SDP,,0,5.2
Matt Olson,4900,OAK,1B,COL,,0.774,10.1
Jed Lowrie,5200,OAK,2B,COL,,0.705,7.99
Tom Murphy,3900,COL,C,OAK,,0.999,6.12
Charlie Blackmon,5300,COL,OF,OAK,,0.707,11.38
Carlos Gonzalez,5100,COL,OF,OAK,,0.999,8.61
Patrick Valaika,3200,COL,1B/2B,OAK,,0,6.64
Nick Martini,3500,OAK,OF,COL,,0.999,8.32
Noel Cuevas,3600,COL,OF,OAK,,0.999,8.25
Trevor Story,5800,COL,SS,OAK,,0.757,11.39
Khris Davis,5900,OAK,OF,COL,,0.78,11.06
Marcus Semien,4600,OAK,SS,COL,,0.999,9.42
Stephen Piscotty,4600,OAK,OF,COL,,0.999,7.88
Matt Chapman,5100,OAK,3B,COL,,0.999,8.92
Nolan Arenado,5700,COL,3B,OAK,,0.774,11.71
Ian Desmond,5200,COL,1B,OAK,,0.71,11.02
Josh Phegley,3600,OAK,C,COL,,0,7.08
David Peralta,4300,ARI,OF,SDP,,0.755,8.27
Hunter Renfroe,4000,SDP,OF,ARI,,0.768,7.49
Manuel Margot,3500,SDP,OF,ARI,,0.999,6.99
Christian Villanueva,3800,SDP,3B,ARI,,0.764,6.64
Jose Pirela,3100,SDP,2B/OF,ARI,,0.727,6.8
Jon Jay,3900,ARI,OF,SDP,,0,7.38
Austin Hedges,3000,SDP,C,ARI,,0.999,5.66
Freddy Galvis,3100,SDP,SS,ARI,,0.999,5.49
Wil Myers,4300,SDP,OF,ARI,,0.757,7.9
Ketel Marte,4000,ARI,2B/SS,SDP,,0.999,6.85
Eduardo Escobar,4400,ARI,3B/SS,SDP,,0.999,7.33
Daniel Descalso,4300,ARI,2B/3B,SDP,,0.999,6.23
Eric Hosmer,3100,SDP,1B,ARI,,0.999,6.35
A.J. Pollock,4800,ARI,OF,SDP,,0.769,8.86
Paul Goldschmidt,4400,ARI,1B,SDP,,0.778,9.21
Justin Smoak,4500,TOR,1B,CHW,,0.773,9.03
Curtis Granderson,3900,TOR,OF,CHW,,0.76,9.33
Victor Martinez,2900,DET,1B,CLE,,0.999,6.35
Jeimer Candelario,3700,DET,3B,CLE,,0.716,7.33
Leonys Martin,3600,DET,OF,CLE,,0.767,7.07
Niko Goodrum,3400,DET,2B/OF,CLE,,0.999,6.8
Jim Adduci,3100,DET,1B,CLE,,0.999,6.39
Roberto Perez,2800,CLE,C,DET,,0.735,5.99
JaCoby Jones,2800,DET,OF,CLE,,0.999,5.83
Jason Kipnis,3700,CLE,2B,DET,,0.999,6.13
