Gio Gonzalez,7600,WAS,SP,MIA,,0.833,16.09
Trevor Richards,6500,MIA,SP,WAS,,0.613,10.94
Justin Verlander,13400,HOU,SP,TEX,,0.488,26.92
Ariel Jurado,4000,TEX,SP,HOU,,0.576,11.34
Jake Odorizzi,5400,MIN,SP,BOS,,0.973,12.15
Rick Porcello,8400,BOS,SP,MIN,,0.759,17.57
Brett Anderson,4000,OAK,SP,COL,,0.722,7.02
Antonio Senzatela,4500,COL,SP,OAK,,0.872,8.74
Felix Hernandez,6600,SEA,SP,LAA,,0.688,13
Jaime Barria,6000,LAA,SP,SEA,,0.703,12.14
Jhoulys Chacin,7700,MIL,SP,SFG,,0.404,14.06
Johnny Cueto,8100,SFG,SP,MIL,,0.809,16.03
Tyson Ross,7200,SDP,SP,ARI,,0.787,12.52
Patrick Corbin,10700,ARI,SP,SDP,,0.469,19.82
John Axford,4000,TOR,SP,CHW,,0,8.1
Lucas Giolito,4800,CHW,SP,TOR,,0.529,11.13
Blaine Hardy,5200,DET,SP,CLE,,0,9.76
Vincent Velasquez,7800,PHI,SP,CIN,,0.753,16.4
Mike Clevinger,10300,CLE,SP,DET,,0.361,17.79
Jose Quintana,8200,CHC,SP,STL,,0.484,14.91
Heath Fillmyer,4600,KCR,SP,NYY,,0.891,9.56
Miles Mikolas,8000,STL,SP,CHC,,0.538,14.89
Matt Harvey,5300,CIN,SP,PHI,,0.867,11.53
Brad Keller,4600,KCR,SP,NYY,,0.855,8.92
Alex Wood,7500,LAD,SP,ATL,,0.645,13.79
Max Fried,7100,ATL,SP,LAD,,0.801,11.31
Jacob deGrom,12900,NYM,SP,PIT,,0.585,21.92
Trevor Williams,7400,PIT,SP,NYM,,0.863,11.73
Kevin Gausman,7300,BAL,SP,TBR,,0.29,14.99
Ryne Stanek,4100,TBR,SP,BAL,,0,7.9
Luis Severino,12200,NYY,SP,KCR,,0.443,23.46
