Mike Minor,7100,TEX,SP,BAL,,0.588,12.67
Dylan Bundy,7600,BAL,SP,TEX,,0.486,13.34
Burch Smith,4500,KCR,SP,MIN,,0.805,9.48
Jose Berrios,11000,MIN,SP,KCR,,0.555,19.69
Zack Wheeler,8400,NYM,SP,ATL,,0.819,16.47
Kevin Gausman,8100,ATL,SP,NYM,,0.476,17.2
Andrew Suarez,6000,SFG,SP,ARI,,0.691,10.37
Clay Buchholz,7300,ARI,SP,SFG,,0.565,14.73
Marco Estrada,5400,TOR,SP,SEA,,0.423,13.07
James Paxton,12900,SEA,SP,TOR,,0.502,23.25
Lance McCullers,8800,HOU,SP,LAD,,0.4,20.11
Kenta Maeda,8300,LAD,SP,HOU,,0.461,20.09
Edwin Jackson,6400,OAK,SP,DET,,0.593,14.35
Jordan Zimmermann,6200,DET,SP,OAK,,0.528,12.27
Tyler Anderson,7400,COL,SP,MIL,,0.898,12.58
Freddy Peralta,9300,MIL,SP,COL,,0.397,16.25
Carlos Rodon,9000,CHW,SP,TBR,,0.438,16.17
Zach Eflin,8000,PHI,SP,MIA,,0.784,14.67
Blake Snell,9400,TBR,SP,CHW,,0.312,20.27
Nathan Eovaldi,7700,BOS,SP,NYY,,0.392,13.31
Kyle Hendricks,8100,CHC,SP,SDP,,0.453,17.94
Chance Adams,4800,NYY,SP,BOS,,0.889,9.4
Jose Urena,6300,MIA,SP,PHI,,0.846,10.91
Austin Gomber,5600,STL,SP,PIT,,0.481,11.63
Felix Pena,5900,LAA,SP,CLE,,0.868,10.6
Corey Kluber,10100,CLE,SP,LAA,,0.356,26
Matt Harvey,6100,CIN,SP,WAS,,0.82,8.85
Jeremy Hellickson,5700,WAS,SP,CIN,,0.646,13.21
Ivan Nova,5600,PIT,SP,STL,,0.67,12.69
Walker Lockett,4000,SDP,SP,CHC,,0.789,8.57
