Tim Beckham,3900,BAL,3B/SS,TEX,,0.76,8.88
Robbie Grossman,3500,MIN,OF,KCR,,0.735,7.5
Ryan O'Hearn,3400,KCR,1B,MIN,,0.999,6.37
Adam Jones,4000,BAL,OF,TEX,,0.734,8.46
Mark Trumbo,3900,BAL,OF,TEX,,0.771,8.89
Trey Mancini,3900,BAL,OF,TEX,,0.999,6.17
Danny Valencia,3800,BAL,3B/OF,TEX,,0.794,7.14
Jake Cave,3200,MIN,OF,KCR,,0.999,6.76
Brett Phillips,3700,KCR,OF,MIN,,0.999,6.15
Eddie Rosario,4700,MIN,OF,KCR,,0.779,10.52
Joe Mauer,3900,MIN,1B,KCR,,0.633,8.11
Jorge Polanco,4100,MIN,SS,KCR,,0.647,9.19
Logan Morrison,3900,MIN,1B,KCR,,0.75,8.41
Rosell Herrera,3200,KCR,OF,MIN,,0.761,6.51
Max Kepler,4100,MIN,OF,KCR,,0.999,7.52
Elvis Andrus,4300,TEX,SS,BAL,,0.999,8.05
Adrian Beltre,3700,TEX,3B,BAL,,0.747,8.32
Ronald Guzman,3500,TEX,1B,BAL,,0.745,6
Joey Gallo,4800,TEX,1B/OF,BAL,,0.749,7.88
Willie Calhoun,4300,TEX,OF,BAL,,0.999,6.69
Andrew McCutchen,4100,SFG,OF,ARI,,0.999,7.9
Gorkys Hernandez,4200,SFG,OF,ARI,,0.999,7.22
Evan Longoria,3900,SFG,3B,ARI,,0.758,7.21
Rougned Odor,5100,TEX,2B,BAL,,0.699,9.86
Shin-Soo Choo,4800,TEX,OF,BAL,,0.75,9.16
Delino DeShields,3800,TEX,OF,BAL,,0.999,6.04
Robinson Chirinos,4100,TEX,C,BAL,,0.999,8.01
Jonathan Villar,3900,BAL,2B,TEX,,0.731,9.27
Joey Rickard,3700,BAL,OF,TEX,,0.999,5.61
Chris Davis,3600,BAL,1B,TEX,,0.999,6.59
Austin Wynns,3100,BAL,C,TEX,,0.999,4.49
Lucas Duda,3800,KCR,1B,MIN,,0.999,6.48
Alex Gordon,3200,KCR,OF,MIN,,0.749,6.7
Johan Camargo,4000,ATL,3B/SS,NYM,,0.999,6.04
Nick Markakis,4300,ATL,OF,NYM,,0.735,7.33
Freddie Freeman,4600,ATL,1B,NYM,,0.765,8.13
Ender Inciarte,3900,ATL,OF,NYM,,0.999,6.12
Brandon Nimmo,4600,NYM,OF,ATL,,0.764,7.82
Jose Reyes,3300,NYM,3B/SS,ATL,,0.999,5.98
Michael Conforto,4200,NYM,OF,ATL,,0.756,8.05
Ozzie Albies,4600,ATL,2B,NYM,,0.76,8.17
