Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
David Fletcher,$3.5K,R,LAA,3B/SS,@ BAL,9 ,David Hess,R, ,,,,,1300,-10,10.0,-149,5.47,0.04,16,0.312,0.275,0,0.313,0.313,0.626,25.00,0.00,0.417,5.2,1.49
Eduardo Escobar,$4.9K,S,MIN,3B/SS,@ CHC,2 ,Mike Montgomery,L,,,,,,1100,-2,9.5,110,4.57,4.57,88,0.239,0.294,0.136,0.292,0.375,0.667,23.50,9.20,0.297,7.19,1.47
Eddie Rosario,$5.3K,L,MIN,OF,@ CHC,3 ,Mike Montgomery,L, ,,,,,1300,-4,9.5,110,4.57,4.57,95,0.274,0.320,0.189,0.289,0.463,0.752,18.40,2.00,0.311,7.72,1.46
Scooter Gennett,$4.8K,L,CIN,2B,MIL,4 ,Chase Anderson,R,,,,,,900,1,10.0,-104,5.07,0.5,210,0.319,0.371,0.186,0.360,0.505,0.865,17.70,7.30,0.356,7.02,1.46
Austin Slater,$3.3K,R,SFG,OF,@ ARI,6 ,Patrick Corbin,L,,,,,,900,-3,7.0,116,3.3,-0.39,3,0.000,0.144,0,0.200,0.000,0.200,20.00,0.00,0.000,4.8,1.45
Charlie Blackmon,$5.1K,L,COL,OF,@ LAD,2 ,Rich Hill,L, ,,,,,1300,-6,7.5,140,3.34,0.02,117,0.299,0.339,0.111,0.359,0.410,0.769,15.70,7.10,0.333,7.33,1.44
Marcus Semien,$4.0K,R,OAK,SS,CLE,7 ,Trevor Bauer,R, ,,,,,700,-2,8.0,161,3.39,-0.07,226,0.257,0.290,0.088,0.309,0.345,0.654,18.20,7.70,0.302,5.74,1.44
Corey Dickerson,$3.7K,L,PIT,OF,@ SDP,6 ,Eric Lauer,L, ,,,,,1400,-29,7.5,-112,3.81,-0.14,57,0.316,0.341,0.105,0.361,0.421,0.782,18.00,3.30,0.391,5.32,1.44
Gregory Polanco,$4.3K,L,PIT,OF,@ SDP,7 ,Eric Lauer,L, ,,,,,1300,-17,7.5,-112,3.81,-0.14,49,0.224,0.334,0.204,0.333,0.429,0.762,31.60,10.50,0.310,6.11,1.42
David Peralta,$4.8K,L,ARI,OF,SFG,4 ,Andrew Suarez,L, ,,,,,1100,-6,7.0,-133,3.7,-0.61,83,0.229,0.300,0.145,0.304,0.373,0.677,29.30,6.50,0.302,6.76,1.41
