Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Albert Almora,$3.0K,R,CHC,OF,@ COL,1 ,Tyler Anderson,L,,,,,,-200,25,9.5,-129,5,-0.21,16,0.312,0.452,0.376,0.389,0.688,1.077,0.06,0.11,0.286,9.71,3.24
Nick Hundley,$2.3K,R,SFG,C,@ LAA,9 ,Garrett Richards,R, ,,,,,100,-27,9.5,183,3.83,0.39,9,0.111,0.141,0.111,0.111,0.222,0.333,0.00,0.00,0.111,6.49,2.82
Moises Sierra,$2.5K,R,WAS,OF,@ LAD,5 ,Hyun-Jin Ryu,L,,,,,,200,12,7.0,-118,3.6,0.01,9,0.111,0.099,-0.000,0.111,0.111,0.222,0.33,0.00,0.167,6.7,2.68
Ryan McMahon,$3.0K,L,COL,1B,CHC,6 ,Yu Darvish,R,,,,,,-100,18,9.5,115,4.5,-0.29,31,0.129,0.149,-0.000,0.182,0.129,0.311,0.39,0.06,0.222,7.91,2.64
Adrian Beltre,$3.3K,R,TEX,3B,SEA,4 ,James Paxton,L,,,,,, ,1,9.0,145,3.97,-0.06,15,0.267,0.288,0.133,0.267,0.400,0.667,0.27,0.00,0.364,8.72,2.64
Dexter Fowler,$3.5K,S,STL,OF,CIN,5 ,Homer Bailey,R,,,,,,400,2,8.0,-226,4.88,0.05,51,0.196,0.280,0.157,0.276,0.353,0.629,0.17,0.10,0.200,8.93,2.55
Gerardo Parra,$3.2K,L,COL,OF,CHC,2 ,Yu Darvish,R,,,,,,100,13,9.5,115,4.5,-0.29,41,0.146,0.177,0.025,0.205,0.171,0.376,0.14,0.07,0.171,8.09,2.53
Kyle Seager,$3.6K,L,SEA,3B,@ TEX,5 ,Bartolo Colon,R,,,,,,600,-5,9.0,-162,5.03,0.06,42,0.190,0.310,0.286,0.244,0.476,0.720,0.18,0.07,0.161,9.1,2.53
Tony Wolters,$2.7K,L,COL,C,CHC,8 ,Yu Darvish,R,,,,,,-300,-4,9.5,115,4.5,-0.29,15,0.067,0.133,0.000,0.176,0.067,0.243,0.23,0.12,0.091,6.78,2.51
Nick Ahmed,$2.9K,R,ARI,SS,SDP,6 ,Clayton Richard,L,,,,,,100,-1,8.0,-168,4.51,-0.24,22,0.136,0.235,0.182,0.208,0.318,0.526,0.21,0.08,0.125,7.22,2.49
Marwin Gonzalez,$3.1K,S,HOU,1B/OF,@ CHW,8 ,Lucas Giolito,R,,,,,,500,-1,8.5,-215,5.11,-0.05,42,0.190,0.286,0.120,0.314,0.310,0.624,0.20,0.16,0.219,7.68,2.48
Chris Young,$2.7K,R,LAA,OF,SFG,8 ,Derek Holland,L,,,,,,100,22,9.5,-209,5.67,0.61,8,0.375,0.533,0.500,0.375,0.875,1.250,0.25,0.00,0.400,6.64,2.46
Avisail Garcia,$3.0K,R,CHW,OF,HOU,2 ,Dallas Keuchel,L,,,,,,600,-11,8.5,188,3.39,0.05,18,0.278,0.335,0.222,0.278,0.500,0.778,0.22,0.00,0.308,7.34,2.45
Isiah Kiner-Falefa,$2.5K,R,TEX,2B/3B,SEA,2 ,James Paxton,L,,,,,,300,8,9.0,145,3.97,-0.06,3,0.000,0.000,0.000,0.000,0.000,0.000,0.67,0.00,0.000,6.09,2.44
James McCann,$2.6K,R,DET,C,KCR,7 ,Danny Duffy,L,,,,,,300,-26,8.5,-114,4.33,0.02,5,0.600,0.825,0.800,0.667,1.400,2.067,0.00,0.17,0.500,6.3,2.42
Teoscar Hernandez,$3.2K,R,TOR,OF,@ NYY,2 ,Jordan Montgomery,L,,,,,,-200,23,8.5,142,3.78,-0.31,9,0.222,0.240,0.111,0.222,0.333,0.555,0.44,0.00,0.400,7.75,2.42
Steve Pearce,$3.4K,R,TOR,1B/2B,@ NYY,1 ,Jordan Montgomery,L,,,,,,600,-26,8.5,142,3.78,-0.31,22,0.318,0.434,0.318,0.375,0.636,1.011,0.21,0.08,0.333,8.21,2.41
Renato Nunez,$2.6K,R,TEX,3B/OF,SEA,5 ,James Paxton,L,,,,,,600,-62,9.0,145,3.97,-0.06,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.27,2.41
Sean Rodriguez,$2.5K,R,PIT,1B/2B,@ PHI,1 ,Aaron Nola,R, ,,,,,-300,24,8.0,158,3.42,-0.04,15,0.133,0.214,-0.000,0.278,0.133,0.411,0.11,0.17,0.154,6.01,2.4
Jean Segura,$3.7K,R,SEA,SS,@ TEX,2 ,Bartolo Colon,R, ,,,,,700,-7,9.0,-162,5.03,0.06,54,0.296,0.334,0.148,0.321,0.444,0.765,0.16,0.04,0.341,8.87,2.4
Deven Marrero,$2.6K,R,ARI,3B,SDP,7 ,Clayton Richard,L,,,,,,200, ,8.0,-168,4.51,-0.24,15,0.267,0.250,0.000,0.294,0.267,0.561,0.12,0.06,0.286,6.25,2.4
Aaron Altherr,$3.2K,R,PHI,OF,PIT,7 ,Steven Brault,L,,,,,,900,-24,8.0,-177,4.58,0.04,8,0.250,0.475,0.500,0.400,0.750,1.150,0.20,0.20,0.200,7.64,2.39
Matt Carpenter,$3.5K,L,STL,2B/3B,CIN,1 ,Homer Bailey,R,,,,,,200, ,8.0,-226,4.88,0.05,46,0.196,0.312,0.195,0.316,0.391,0.707,0.28,0.16,0.233,8.38,2.39
Eric Sogard,$2.7K,L,MIL,2B/SS,MIA,6 ,Jose Urena,R,,,,,,700,4,9.0,-195,5.28,0.2,32,0.156,0.175,0.094,0.156,0.250,0.406,0.28,0.00,0.217,6.45,2.39
Cheslor Cuthbert,$2.9K,R,KCR,1B/3B,@ DET,6 ,Michael Fiers,R, ,,,,,600,-10,8.5,101,4.17,-0.02,25,0.160,0.210,0.000,0.267,0.160,0.427,0.07,0.13,0.167,6.84,2.36
Gregor Blanco,$2.4K,L,SFG,OF,@ LAA,2 ,Garrett Richards,R,,,,,,300,5,9.5,183,3.83,0.39,20,0.350,0.363,0.050,0.409,0.400,0.809,0.14,0.09,0.412,5.66,2.36
Carlos Perez,$2.2K,R,ATL,C,NYM,8 ,Jacob deGrom,R, ,,,,,100,-25,9.0,148,3.94,0.22,14,0.143,0.127,0.000,0.143,0.143,0.286,0.29,0.00,0.200,5.17,2.35
Brad Miller,$3.2K,L,TBR,2B,MIN,4 ,Kyle Gibson,R,,,,,,600,-14,7.5,-128,3.94,0.09,20,0.250,0.352,0.200,0.348,0.450,0.798,0.30,0.13,0.333,7.47,2.33
Kolten Wong,$2.8K,L,STL,2B,CIN,7 ,Homer Bailey,R,,,,,,600,4,8.0,-226,4.88,0.05,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.5,2.32
Lucas Duda,$3.5K,L,KCR,1B,@ DET,4 ,Michael Fiers,R,,,,,,1200,-25,8.5,101,4.17,-0.02,33,0.333,0.396,0.182,0.389,0.515,0.904,0.17,0.08,0.360,8.1,2.31
Derek Dietrich,$2.9K,L,MIA,OF,@ MIL,2 ,Brent Suter,L, ,,,,,300,11,9.0,174,3.72,-0.2,18,0.222,0.262,0.111,0.263,0.333,0.596,0.32,0.05,0.333,6.69,2.31
Dee Gordon,$4.0K,L,SEA,OF,@ TEX,1 ,Bartolo Colon,R,,,,,,600,-3,9.0,-162,5.03,0.06,51,0.314,0.324,0.078,0.340,0.392,0.732,0.26,0.04,0.417,9.11,2.28
Mac Williamson,$2.4K,R,SFG,OF,@ LAA,7 ,Garrett Richards,R, ,,,,,400,1,9.5,183,3.83,0.39,2,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,5.47,2.28
Jason Kipnis,$3.8K,L,CLE,2B,@ BAL,2 ,Chris Tillman,R,,,,,,900,-7,9.0,-202,5.33,0.15,51,0.137,0.175,0.059,0.185,0.196,0.381,0.24,0.06,0.184,8.66,2.28
Alcides Escobar,$2.6K,R,KCR,SS,@ DET,8 ,Michael Fiers,R, ,,,,,100, ,8.5,101,4.17,-0.02,44,0.091,0.151,0.023,0.184,0.114,0.298,0.08,0.10,0.100,5.92,2.28
Willson Contreras,$4.4K,R,CHC,C,@ COL,5 ,Tyler Anderson,L,,,,,,800,-9,9.5,-129,5,-0.21,17,0.294,0.347,0.118,0.368,0.412,0.780,0.16,0.10,0.357,9.98,2.27
Joe Panik,$3.2K,L,SFG,2B,@ LAA,1 ,Garrett Richards,R,,,,,,400,1,9.5,183,3.83,0.39,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.25,2.27
Jorge Alfaro,$2.7K,R,PHI,C,PIT,8 ,Steven Brault,L,,,,,,700,-41,8.0,-177,4.58,0.04,10,0.100,0.089,0.000,0.100,0.100,0.200,0.50,0.00,0.200,6.1,2.26
Welington Castillo,$3.1K,R,CHW,C,HOU,4 ,Dallas Keuchel,L,,,,,,1000,-45,8.5,188,3.39,0.05,11,0.091,0.233,0.273,0.167,0.364,0.531,0.25,0.08,0.000,7.01,2.26
Craig Gentry,$2.5K,R,BAL,OF,CLE,1 ,Michael Clevinger,R, ,,,,,100,17,9.0,178,3.67,-0.15,14,0.357,0.342,-0.000,0.400,0.357,0.757,0.20,0.07,0.455,5.63,2.25
Bryan Holaday,$2.3K,R,MIA,C,@ MIL,8 ,Brent Suter,L,,,,,,200,-28,9.0,174,3.72,-0.2,5,0.200,0.178,0.000,0.200,0.200,0.400,0.00,0.00,0.200,5.16,2.24
Carlos Santana,$3.8K,S,PHI,1B,PIT,2 ,Steven Brault,L,,,,,,500,2,8.0,-177,4.58,0.04,16,0.188,0.246,0.063,0.278,0.250,0.528,0.11,0.11,0.214,8.51,2.24
Denard Span,$2.8K,L,TBR,OF,MIN,1 ,Kyle Gibson,R,,,,,,200,18,7.5,-128,3.94,0.09,36,0.250,0.345,0.194,0.349,0.444,0.793,0.16,0.14,0.276,6.23,2.23
Ketel Marte,$3.5K,S,ARI,2B/SS,SDP,2 ,Clayton Richard,L,,,,,,400,2,8.0,-168,4.51,-0.24,36,0.278,0.339,0.194,0.316,0.472,0.788,0.18,0.05,0.345,7.81,2.23
Michael Brantley,$3.9K,L,CLE,OF,@ BAL,4 ,Chris Tillman,R,,,,,,500,3,9.0,-202,5.33,0.15,25,0.360,0.410,0.200,0.385,0.560,0.945,0.04,0.04,0.348,8.67,2.22
Jurickson Profar,$2.9K,S,TEX,2B/SS,SEA,6 ,James Paxton,L,,,,,,700,-1,9.0,145,3.97,-0.06,7,0.143,0.296,0.000,0.400,0.143,0.543,0.00,0.30,0.143,6.45,2.22
Addison Russell,$3.8K,R,CHC,SS,@ COL,7 ,Tyler Anderson,L,,,,,,400,-2,9.5,-129,5,-0.21,15,0.333,0.426,0.200,0.444,0.533,0.977,0.06,0.17,0.357,8.45,2.22
Randal Grichuk,$3.0K,R,TOR,OF,@ NYY,8 ,Jordan Montgomery,L,,,,,,900,-25,8.5,142,3.78,-0.31,16,0.188,0.242,0.126,0.235,0.313,0.548,0.23,0.06,0.250,6.65,2.22
Nick Markakis,$3.1K,L,ATL,OF,NYM,4 ,Jacob deGrom,R,,,,,,-100,24,9.0,148,3.94,0.22,56,0.268,0.326,0.125,0.344,0.393,0.737,0.06,0.11,0.269,6.89,2.22
Robbie Grossman,$2.8K,S,MIN,OF,@ TBR,4 ,Blake Snell,L,,,,,,800,-11,7.5,114,3.56,-0.09,7,0.143,0.245,0.143,0.250,0.286,0.536,0.38,0.13,0.250,6.19,2.21
Robinson Cano,$4.2K,L,SEA,2B,@ TEX,3 ,Bartolo Colon,R,,,,,,400,-3,9.0,-162,5.03,0.06,42,0.310,0.346,0.095,0.370,0.405,0.775,0.22,0.09,0.387,9.26,2.2
Jose Lobaton,$2.4K,S,NYM,C,@ ATL,7 ,Julio Teheran,R,,,,,,300,-29,9.0,-165,5.06,0.78,13,0.077,0.230,0.154,0.250,0.231,0.481,0.44,0.19,0.167,5.29,2.2
Jon Jay,$3.0K,L,KCR,OF,@ DET,1 ,Michael Fiers,R,,,,,,800,-21,8.5,101,4.17,-0.02,43,0.233,0.271,0.069,0.298,0.302,0.600,0.15,0.09,0.278,6.56,2.19
Carlos Tocci,$2.2K,R,TEX,OF,SEA,9 ,James Paxton,L,,,,,,200,3,9.0,145,3.97,-0.06,8,0.125,0.175,0.000,0.222,0.125,0.347,0.33,0.11,0.200,4.8,2.18
Jose Martinez,$3.7K,R,STL,1B,CIN,3 ,Homer Bailey,R, ,,,,,-400,16,8.0,-226,4.88,0.05,56,0.357,0.422,0.197,0.422,0.554,0.976,0.09,0.11,0.354,8.08,2.18
Chris Owings,$3.2K,R,ARI,2B/OF,SDP,5 ,Clayton Richard,L,,,,,,800,-50,8.0,-168,4.51,-0.24,24,0.167,0.219,0.083,0.231,0.250,0.481,0.35,0.08,0.267,6.95,2.17
Paul Goldschmidt,$4.8K,R,ARI,1B,SDP,3 ,Clayton Richard,L,,,,,,200,1,8.0,-168,4.51,-0.24,24,0.375,0.554,0.500,0.464,0.875,1.339,0.18,0.14,0.375,10.41,2.17
Cesar Hernandez,$4.0K,S,PHI,2B,PIT,1 ,Steven Brault,L,,,,,,300,-2,8.0,-177,4.58,0.04,8,0.375,0.512,0.000,0.688,0.375,1.063,0.06,0.50,0.429,8.67,2.17
Marcell Ozuna,$4.0K,R,STL,OF,CIN,4 ,Homer Bailey,R, ,,,,,200,7,8.0,-226,4.88,0.05,59,0.271,0.295,0.119,0.283,0.390,0.673,0.30,0.02,0.359,8.66,2.17
Miguel Rojas,$2.8K,R,MIA,SS,@ MIL,1 ,Brent Suter,L,,,,,,200,-1,9.0,174,3.72,-0.2,11,0.182,0.237,0.091,0.250,0.273,0.523,0.08,0.08,0.200,6.04,2.16
C.J. Cron,$3.4K,R,TBR,1B,MIN,2 ,Kyle Gibson,R, ,,,,,300,4,7.5,-128,3.94,0.09,43,0.163,0.190,0.070,0.196,0.233,0.429,0.30,0.04,0.233,7.35,2.16
A.J. Pollock,$4.6K,R,ARI,OF,SDP,4 ,Clayton Richard,L,,,,,,700,-5,8.0,-168,4.51,-0.24,25,0.240,0.370,0.440,0.231,0.680,0.911,0.35,0.00,0.267,9.93,2.16
Cameron Maybin,$2.9K,R,MIA,OF,@ MIL,6 ,Brent Suter,L,,,,,,600,-5,9.0,174,3.72,-0.2,17,0.294,0.306,0.118,0.294,0.412,0.706,0.18,0.00,0.357,6.27,2.16
Jorge Soler,$3.0K,R,KCR,OF,@ DET,5 ,Michael Fiers,R, ,,,,,600,-11,8.5,101,4.17,-0.02,28,0.179,0.251,0.035,0.303,0.214,0.517,0.30,0.15,0.278,6.47,2.16
Josh Reddick,$4.1K,L,HOU,OF,@ CHW,4 ,Lucas Giolito,R,,,,,,400,4,8.5,-215,5.11,-0.05,37,0.270,0.389,0.189,0.413,0.459,0.872,0.17,0.20,0.296,8.82,2.15
Mike Tauchman,$2.8K,L,COL,OF,CHC,7 ,Yu Darvish,R,,,,,,-200,33,9.5,115,4.5,-0.29,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.03,2.15
John Murphy,$2.5K,R,ARI,C,SDP,8 ,Clayton Richard,L,,,,,,500,-36,8.0,-168,4.51,-0.24,9,0.222,0.332,0.334,0.222,0.556,0.778,0.33,0.00,0.200,5.34,2.14
Tyler Naquin,$2.9K,L,CLE,OF,@ BAL,8 ,Chris Tillman,R,,,,,,800,-14,9.0,-202,5.33,0.15,29,0.310,0.330,0.104,0.333,0.414,0.747,0.27,0.03,0.400,6.21,2.14
Travis Shaw,$4.3K,L,MIL,3B,MIA,4 ,Jose Urena,R,,,,,,400,-2,9.0,-195,5.28,0.2,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,9.19,2.14
Miguel Andujar,$2.9K,R,NYY,3B,TOR,7 ,Marcus Stroman,R, ,,,,,200,1,8.5,-158,4.72,-0.19,30,0.267,0.368,0.366,0.258,0.633,0.891,0.16,0.00,0.250,6.2,2.14
Kevin Pillar,$3.4K,R,TOR,OF,@ NYY,5 ,Jordan Montgomery,L,,,,,,300,5,8.5,142,3.78,-0.31,15,0.133,0.167,0.134,0.133,0.267,0.400,0.20,0.00,0.167,7.23,2.13
Brandon Crawford,$2.9K,L,SFG,SS,@ LAA,8 ,Garrett Richards,R,,,,,,900,-13,9.5,183,3.83,0.39,25,0.280,0.285,0.040,0.321,0.320,0.641,0.29,0.07,0.389,6.17,2.13
Alex Bregman,$4.1K,R,HOU,3B,@ CHW,6 ,Lucas Giolito,R, ,,,,, ,1,8.5,-215,5.11,-0.05,53,0.245,0.330,0.113,0.365,0.358,0.723,0.11,0.16,0.267,8.74,2.13
Ian Happ,$4.3K,S,CHC,OF,@ COL,6 ,Tyler Anderson,L,,,,,,1200,-22,9.5,-129,5,-0.21,13,0.308,0.417,0.307,0.357,0.615,0.972,0.43,0.07,0.500,9.16,2.13
Preston Tucker,$2.9K,L,ATL,OF,NYM,5 ,Jacob deGrom,R,,,,,,-100,26,9.0,148,3.94,0.22,48,0.312,0.388,0.251,0.346,0.563,0.909,0.25,0.06,0.364,6.16,2.12
Benjamin Gamel,$3.0K,L,SEA,OF,@ TEX,9 ,Bartolo Colon,R,,,,,,800,-21,9.0,-162,5.03,0.06,4,0.000,0.138,0.000,0.200,0.000,0.200,0.20,0.20,0.000,6.36,2.12
Jose Reyes,$2.6K,S,NYM,3B/SS,@ ATL,9 ,Julio Teheran,R,,,,,,600,-5,9.0,-165,5.06,0.78,18,0.000,0.036,0.000,0.053,0.000,0.053,0.16,0.05,0.000,5.5,2.12
Jesse Winker,$2.9K,L,CIN,OF,@ STL,1 ,Carlos Martinez,R,,,,,,400,5,8.0,198,3.13,-0.04,39,0.282,0.341,0.026,0.417,0.308,0.725,0.21,0.19,0.379,6.12,2.11
Justin Bour,$3.1K,L,MIA,1B,@ MIL,5 ,Brent Suter,L, ,,,,,-100,15,9.0,174,3.72,-0.2,17,0.118,0.186,0.058,0.211,0.176,0.387,0.21,0.10,0.154,6.5,2.1
Yulieski Gurriel,$4.2K,R,HOU,1B/3B,@ CHW,5 ,Lucas Giolito,R, ,,,,,1200,-14,8.5,-215,5.11,-0.05,15,0.267,0.294,0.200,0.250,0.467,0.717,0.13,0.00,0.286,8.82,2.1
Javier Baez,$4.7K,R,CHC,2B,@ COL,2 ,Tyler Anderson,L,,,,,, ,1,9.5,-129,5,-0.21,22,0.091,0.136,0.136,0.091,0.227,0.318,0.23,0.00,0.063,9.88,2.1
