Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Brian Dozier,$3.7K,R,MIN,2B,CLE,4 ,Shane Bieber,R, ,,,,,200,8,10.0,128,4.59,0.09,309,0.220,0.311,0.197,0.294,0.417,0.711,20.90,9.00,0.240,9.38,2.54
Jedd Gyorko,$3.0K,R,STL,2B/3B,COL,5 ,Tyler Anderson,L,,,,,,200,10,7.5,-127,3.93,-0.59,60,0.333,0.431,0.267,0.414,0.600,1.014,14.30,12.90,0.340,7.52,2.51
Eric Hosmer,$3.3K,L,SDP,1B,SFG,4 ,Derek Holland,L, ,,,,,600,9,8.0,-106,3.94,-0.01,129,0.202,0.252,0.109,0.259,0.310,0.569,20.10,7.20,0.242,7.74,2.35
Jake Cave,$2.8K,L,MIN,OF,CLE,8 ,Shane Bieber,R,,,,,,500,4,10.0,128,4.59,0.09,80,0.300,0.355,0.2,0.333,0.500,0.833,23.80,4.80,0.379,6.53,2.33
John Ryan Murphy,$3.0K,R,ARI,C,TEX,8 ,Martin Perez,L,,,,,,1000,-21,8.5,-191,4.96,-0.14,73,0.233,0.320,0.233,0.282,0.466,0.748,21.80,6.40,0.235,6.92,2.31
Robbie Grossman,$3.0K,S,MIN,OF,CLE,6 ,Shane Bieber,R,,,,,,600,6,10.0,128,4.59,0.09,177,0.237,0.298,0.102,0.325,0.339,0.664,21.10,11.80,0.299,6.9,2.3
Jorge Polanco,$3.4K,S,MIN,SS,CLE,3 ,Shane Bieber,R,,,,,,800,-2,10.0,128,4.59,0.09,53,0.396,0.452,0.151,0.500,0.547,1.047,21.90,15.60,0.538,7.71,2.27
Eddie Rosario,$4.2K,L,MIN,OF,CLE,2 ,Shane Bieber,R,,,,,,800,3,10.0,128,4.59,0.09,280,0.321,0.397,0.239,0.369,0.561,0.930,16.90,7.00,0.347,9.19,2.19
Paul Goldschmidt,$4.8K,R,ARI,1B,TEX,3 ,Martin Perez,L,,,,,,500,1,8.5,-191,4.96,-0.14,114,0.316,0.448,0.316,0.422,0.632,1.054,22.20,14.80,0.368,10.39,2.16
Max Kepler,$3.5K,L,MIN,OF,CLE,5 ,Shane Bieber,R,,,,,,1200,-7,10.0,128,4.59,0.09,244,0.217,0.313,0.176,0.313,0.393,0.706,14.00,11.90,0.228,7.53,2.15
Mike Moustakas,$3.9K,L,MIL,3B,@ LAD,2 ,Kenta Maeda,R,,,,,,400,2,7.5,131,3.42,0.13,260,0.242,0.342,0.246,0.314,0.488,0.802,15.20,9.00,0.233,8.32,2.13
Joe Mauer,$3.4K,L,MIN,1B,CLE,1 ,Shane Bieber,R,,,,,,900,1,10.0,128,4.59,0.09,204,0.275,0.325,0.098,0.353,0.373,0.726,11.20,11.20,0.303,7.24,2.13
Paul DeJong,$3.8K,R,STL,SS,COL,3 ,Tyler Anderson,L,,,,,,500,2,7.5,-127,3.93,-0.59,51,0.235,0.337,0.196,0.349,0.431,0.780,23.80,14.30,0.278,8.06,2.12
Matt Olson,$4.1K,L,OAK,1B,TOR,5 ,Marco Estrada,R,,,,,,800,4,8.5,-129,4.48,-0.23,259,0.228,0.351,0.251,0.329,0.479,0.808,24.80,11.70,0.246,8.65,2.11
Melky Cabrera,$3.7K,S,CLE,OF,@ MIN,6 ,Ervin Santana,R,,,,,,1300,-8,10.0,-143,5.41,0.41,66,0.258,0.280,0.121,0.284,0.379,0.663,10.80,4.10,0.262,7.81,2.11
Michael Brantley,$4.3K,L,CLE,OF,@ MIN,2 ,Ervin Santana,R,,,,,,900,1,10.0,-143,5.41,0.41,277,0.321,0.379,0.199,0.366,0.520,0.886,8.20,6.90,0.324,9.02,2.1
Chase d'Arnaud,$3.3K,R,SFG,2B/3B,@ SDP,6 ,Eric Lauer,L,,,,,,900, ,8.0,-107,4.06,0.01,22,0.409,0.483,0.318,0.409,0.727,1.136,18.20,0.00,0.438,6.9,2.09
Adrian Beltre,$3.8K,R,TEX,3B,@ ARI,4 ,Robbie Ray,L,,,,,,1100,-1,8.5,170,3.54,0.14,70,0.343,0.356,0.071,0.392,0.414,0.806,20.30,7.60,0.429,7.94,2.09
Mitch Garver,$3.1K,R,MIN,C,CLE,9 ,Shane Bieber,R, ,,,,,600,-8,10.0,128,4.59,0.09,132,0.295,0.365,0.174,0.367,0.470,0.837,23.60,8.80,0.376,6.44,2.08
Tyler Flowers,$3.1K,R,ATL,C,MIA,5 ,Wei-Yin Chen,L,,,,,,600,-8,9.0,-164,5.05,0.27,38,0.421,0.540,0.263,0.593,0.684,1.277,18.50,25.90,0.520,6.45,2.08
Russell Martin,$3.3K,R,TOR,C,@ OAK,2 ,Edwin Jackson,R, ,,,,,1100,-22,8.5,116,4.02,0.23,171,0.181,0.306,0.164,0.324,0.345,0.669,23.70,15.90,0.202,6.74,2.04
Andrew McCutchen,$4.2K,R,SFG,OF,@ SDP,1 ,Eric Lauer,L,,,,,,700,7,8.0,-107,4.06,0.01,134,0.254,0.335,0.157,0.338,0.410,0.748,21.20,10.60,0.313,8.53,2.03
Steven Souza,$4.1K,R,ARI,OF,TEX,5 ,Martin Perez,L,,,,,,1300,-9,8.5,-191,4.96,-0.14,34,0.324,0.355,0.088,0.395,0.412,0.807,28.90,10.50,0.478,8.3,2.02
