Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Sam Travis,$2.5K,R,BOS,1B,CHW,5 ,Carlos Rodon,L,,,,,,300,-6,9.5,-187,5.53,-0.01,5,0.000,0.115,0,0.167,0.000,0.167,0.00,16.70,0.000,7.6,3.04
Nick Hundley,$2.6K,R,SFG,C,@ WAS,5 ,Gio Gonzalez,L,,,,,,500,-20,8.5,160,3.62,0.12,43,0.326,0.417,0.326,0.356,0.651,1.007,19.60,6.50,0.333,6.92,2.66
Gerardo Parra,$3.7K,L,COL,OF,ARI,5 ,Matt Koch,R,,,,,,200,22,13.0,-135,6.93,0.5,133,0.323,0.340,0.105,0.357,0.429,0.786,14.30,5.70,0.369,9.6,2.59
Kendrys Morales,$3.2K,S,TOR,1B,BAL,4 ,Kevin Gausman,R,,,,,,600,-3,9.0,-110,4.58,-0.17,103,0.204,0.250,0.126,0.248,0.330,0.578,21.40,8.00,0.237,8.28,2.59
Jace Peterson,$2.7K,L,BAL,2B/3B,@ TOR,1 ,Aaron Sanchez,R,,,,,,700,3,9.0,-104,4.42,0.17,77,0.195,0.261,0.078,0.279,0.273,0.552,26.70,10.50,0.278,6.98,2.59
Christian Vazquez,$2.6K,R,BOS,C,CHW,7 ,Carlos Rodon,L,,,,,,300,-12,9.5,-187,5.53,-0.01,37,0.243,0.265,0.081,0.263,0.324,0.587,13.20,5.30,0.281,6.7,2.58
Jake Marisnick,$2.7K,R,HOU,OF,@ TEX,9 ,Mike Minor,L,,,,,,600,3,9.5,-185,5.49,-0.3,51,0.137,0.181,0.137,0.154,0.275,0.429,50.00,1.90,0.217,6.85,2.54
Yulieski Gurriel,$3.4K,R,HOU,1B,@ TEX,4 ,Mike Minor,L,,,,,,500,-3,9.5,-185,5.49,-0.3,63,0.286,0.298,0.095,0.308,0.381,0.689,12.30,3.10,0.315,8.6,2.53
Alcides Escobar,$2.7K,R,KCR,SS,@ OAK,6 ,Chris Bassitt,R, ,,,,,200,2,8.5,147,3.74,0.41,173,0.197,0.219,0.069,0.234,0.266,0.500,10.20,4.80,0.208,6.71,2.49
Charlie Culberson,$2.7K,R,ATL,3B/OF,@ LAD,6 ,Alex Wood,L,,,,,,200,9,7.5,143,3.32,-0.05,42,0.238,0.270,0.119,0.273,0.357,0.630,18.20,4.50,0.294,6.56,2.43
Jose Pirela,$3.3K,R,SDP,2B/OF,@ MIA,3 ,Dan Straily,R, ,,,,,300,8,7.5,-113,3.82,0.07,179,0.274,0.291,0.073,0.314,0.346,0.660,21.50,5.80,0.353,7.98,2.42
Jordy Mercer,$2.8K,R,PIT,SS,@ CHC,1 ,Jon Lester,L,,,,,,600,-9,8.0,149,3.49,3.49,41,0.244,0.284,0.073,0.319,0.317,0.636,8.30,8.30,0.263,6.76,2.41
Robbie Grossman,$3.1K,S,MIN,OF,LAA,4 ,Tyler Skaggs,L,,,,,,1000,-11,8.5,-113,4.32,-0.12,40,0.250,0.298,0.075,0.340,0.325,0.665,21.70,13.00,0.323,7.47,2.41
Raffy Lopez,$2.7K,L,SDP,C,@ MIA,8 ,Dan Straily,R,,,,,,600,-23,7.5,-113,3.82,0.07,61,0.164,0.235,0.148,0.232,0.311,0.543,36.60,11.30,0.206,6.47,2.4
Luis Valbuena,$3.2K,L,LAA,1B/3B,@ MIN,5 ,Kyle Gibson,R,,,,,,800,2,8.5,-101,4.18,-0.38,137,0.219,0.269,0.131,0.265,0.350,0.615,32.90,6.80,0.294,7.68,2.4
Rhys Hoskins,$4.0K,R,PHI,OF,MIL,2 ,Brent Suter,L,,,,,,1000,-9,8.0,-110,4.07,-0.12,40,0.250,0.370,0.1,0.444,0.350,0.794,23.60,23.60,0.346,9.52,2.38
Trayce Thompson,$2.7K,R,CHW,OF,@ BOS,7 ,David Price,L,,,,,,700,-2,9.5,171,3.97,0.51,44,0.136,0.192,0.136,0.174,0.273,0.447,40.40,6.40,0.208,6.41,2.37
Lonnie Chisenhall,$2.9K,L,CLE,OF,@ DET,4 ,Mike Fiers,R,,,,,,800,-5,9.0,-170,5.09,-0.23,24,0.208,0.254,0.042,0.296,0.250,0.546,17.90,10.70,0.263,6.87,2.37
Kevan Smith,$2.8K,R,CHW,C,@ BOS,5 ,David Price,L,,,,,,600,-23,9.5,171,3.97,0.51,3,0.667,0.703,0.333,0.667,1.000,1.667,0.00,0.00,0.667,6.61,2.36
Albert Pujols,$3.3K,R,LAA,1B,@ MIN,4 ,Kyle Gibson,R, ,,,,,400, ,8.5,-101,4.18,-0.38,189,0.265,0.306,0.164,0.284,0.429,0.713,14.80,4.10,0.281,7.75,2.35
Tony Wolters,$3.0K,L,COL,C,ARI,8 ,Matt Koch,R,,,,,,-300,2,13.0,-135,6.93,0.5,73,0.164,0.255,0.096,0.279,0.260,0.539,16.30,12.80,0.172,7.04,2.35
Michael Conforto,$3.7K,L,NYM,OF,NYY,6 ,Domingo German,R,,,,,,800,-1,8.5,145,3.74,-0.08,126,0.238,0.328,0.151,0.347,0.389,0.736,21.90,16.60,0.284,8.69,2.35
Melky Cabrera,$2.9K,S,CLE,OF,@ DET,7 ,Mike Fiers,R,,,,,,300,15,9.0,-170,5.09,-0.23,30,0.133,0.166,0.067,0.176,0.200,0.376,14.70,2.90,0.148,6.75,2.33
Stephen Piscotty,$3.0K,R,OAK,OF,KCR,7 ,Danny Duffy,L,,,,,,600, ,8.5,-162,4.76,0.09,60,0.183,0.238,0.083,0.258,0.267,0.525,19.70,6.10,0.217,6.98,2.33
Ehire Adrianza,$2.5K,S,MIN,SS,LAA,7 ,Tyler Skaggs,L,,,,,, ,5,8.5,-113,4.32,-0.12,33,0.333,0.386,0.182,0.389,0.515,0.904,25.00,5.60,0.458,5.8,2.32
Justin Bour,$3.2K,L,MIA,1B,SDP,4 ,Tyson Ross,R,,,,,, ,11,7.5,-102,3.68,-0.07,135,0.244,0.356,0.244,0.340,0.489,0.829,21.70,16.80,0.261,7.39,2.31
Andrew Romine,$2.6K,S,SEA,OF/SS,@ TBR,9 ,Blake Snell,L,,,,,,600,58,7.0,119,3.27,-0.25,16,0.188,0.164,0,0.188,0.188,0.376,43.80,0.00,0.333,6,2.31
Jonathan Schoop,$3.3K,R,BAL,2B,@ TOR,6 ,Aaron Sanchez,R, ,,,,,300,8,9.0,-104,4.42,0.17,124,0.202,0.244,0.169,0.213,0.371,0.584,25.80,0.80,0.239,7.63,2.31
Freddy Galvis,$2.7K,S,SDP,SS,@ MIA,6 ,Dan Straily,R,,,,,,300,-2,7.5,-113,3.82,0.07,158,0.215,0.260,0.063,0.292,0.278,0.570,20.10,10.60,0.274,6.21,2.3
Zack Cozart,$3.3K,R,LAA,2B/3B,@ MIN,6 ,Kyle Gibson,R, ,,,,,300,9,8.5,-101,4.18,-0.38,161,0.242,0.312,0.155,0.318,0.398,0.716,19.00,7.30,0.285,7.52,2.28
Amed Rosario,$3.2K,R,NYM,SS,NYY,1 ,Domingo German,R, ,,,,,1100,-15,8.5,145,3.74,-0.08,147,0.252,0.276,0.095,0.288,0.347,0.635,21.70,4.50,0.312,7.28,2.28
Victor Martinez,$2.9K,S,DET,1B,CLE,5 ,Mike Clevinger,R,,,,,,800,-13,9.0,151,3.91,-0.27,134,0.246,0.284,0.097,0.307,0.343,0.650,10.50,9.20,0.261,6.62,2.28
Brian Dozier,$4.2K,R,MIN,2B,LAA,1 ,Tyler Skaggs,L,,,,,,100,4,8.5,-113,4.32,-0.12,45,0.222,0.296,0.133,0.314,0.356,0.670,15.70,11.80,0.250,9.52,2.27
Cory Spangenberg,$3.1K,L,SDP,3B/OF,@ MIA,5 ,Dan Straily,R,,,,,,600,-4,7.5,-113,3.82,0.07,90,0.200,0.263,0.189,0.234,0.389,0.623,34.70,3.20,0.264,7.04,2.27
Robert Refsnyder,$2.6K,R,TBR,OF,SEA,8 ,Felix Hernandez,R, ,,,,,600,2,7.0,-136,3.73,-0.25,24,0.250,0.313,0.042,0.379,0.292,0.671,31.00,17.20,0.400,5.87,2.26
Aaron Altherr,$2.9K,R,PHI,OF,MIL,5 ,Brent Suter,L,,,,,,400,9,8.0,-110,4.07,-0.12,44,0.182,0.313,0.182,0.339,0.364,0.703,25.00,19.60,0.207,6.55,2.26
Eduardo Nunez,$3.4K,R,BOS,2B/SS,CHW,4 ,Carlos Rodon,L,,,,,,500,5,9.5,-187,5.53,-0.01,56,0.161,0.172,0.036,0.190,0.196,0.386,20.30,3.40,0.205,7.66,2.25
Jose Altuve,$4.9K,R,HOU,2B,@ TEX,3 ,Mike Minor,L,,,,,,400,1,9.5,-185,5.49,-0.3,73,0.274,0.289,0.068,0.316,0.342,0.658,15.40,5.10,0.323,10.97,2.24
J.B. Shuck,$2.5K,L,MIA,OF,SDP,8 ,Tyson Ross,R,,,,,,500,4,7.5,-102,3.68,-0.07,74,0.189,0.225,0.041,0.259,0.230,0.489,16.00,7.40,0.230,5.6,2.24
Matt Duffy,$3.1K,R,TBR,3B,SEA,3 ,Felix Hernandez,R, ,,,,,700,-5,7.0,-136,3.73,-0.25,132,0.371,0.383,0.121,0.400,0.492,0.892,18.40,4.30,0.448,6.91,2.23
Adam Jones,$3.5K,R,BAL,OF,@ TOR,2 ,Aaron Sanchez,R, ,,,,,200,17,9.0,-104,4.42,0.17,176,0.267,0.324,0.222,0.286,0.489,0.775,18.80,2.20,0.284,7.81,2.23
Joseph Wendle,$3.2K,L,TBR,2B,SEA,4 ,Felix Hernandez,R,,,,,,900,4,7.0,-136,3.73,-0.25,149,0.275,0.307,0.107,0.321,0.383,0.704,20.40,6.20,0.336,7.15,2.23
Marcell Ozuna,$3.8K,R,STL,OF,@ CIN,4 ,Luis Castillo,R, ,,,,,300,17,9.0,-103,4.57,0.1,183,0.262,0.294,0.104,0.301,0.366,0.667,19.20,6.20,0.310,8.45,2.22
