Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Mikie Mahtook,$2.7K,R,DET,OF,@ SEA,6 ,Marco Gonzales,L,,,,,,600,-1,8.0,166,3.36,-0.36,10,0.100,0.088,0,0.100,0.100,0.200,30.00,0.00,0.143,7.61,2.82
Chris Taylor,$3.2K,R,LAD,OF/SS,@ MIA,1 ,Caleb Smith,L,,,,,,-400,35,7.5,-164,4.21,-0.24,50,0.220,0.317,0.2,0.304,0.420,0.724,16.10,12.50,0.231,8.58,2.68
Matt Kemp,$3.0K,R,LAD,OF,@ MIA,4 ,Caleb Smith,L,,,,,,100,14,7.5,-164,4.21,-0.24,43,0.349,0.406,0.186,0.417,0.535,0.952,22.90,10.40,0.452,7.84,2.61
Enrique Hernandez,$2.8K,R,LAD,2B/OF,@ MIA,5 ,Caleb Smith,L,,,,,,500, ,7.5,-164,4.21,-0.24,55,0.200,0.283,0.145,0.274,0.345,0.619,24.20,12.90,0.231,7.27,2.6
Justin Turner,$3.4K,R,LAD,3B,@ MIA,3 ,Caleb Smith,L,,,,,, ,7,7.5,-164,4.21,-0.24,2,0.500,0.439,0,0.500,0.500,1.000,0.00,0.00,0.500,8.64,2.54
Peter Kozma,$2.7K,R,DET,2B/SS,@ SEA,2 ,Marco Gonzales,L,,,,,,-200,12,8.0,166,3.36,-0.36,4,0.250,0.308,0.25,0.250,0.500,0.750,0.00,0.00,0.250,6.87,2.54
Shin-Soo Choo,$3.6K,L,TEX,OF,@ CHW,2 ,James Shields,R,,,,,,600, ,9.5,-113,4.83,0.08,115,0.270,0.343,0.174,0.346,0.443,0.789,18.50,11.50,0.299,9.07,2.52
Nicky Delmonico,$3.0K,L,CHW,OF,TEX,4 ,Doug Fister,R,,,,,,700,-1,9.5,-100,4.67,0.42,94,0.234,0.292,0.085,0.321,0.319,0.640,18.90,10.40,0.288,7.52,2.51
Martin Prado,$2.5K,R,MIA,3B,LAD,1 ,Kenta Maeda,R, ,,,,,200,-2,7.5,147,3.29,-0.26,48,0.167,0.175,0.021,0.200,0.188,0.388,18.40,4.10,0.205,6.18,2.47
Jurickson Profar,$3.3K,S,TEX,SS,@ CHW,3 ,James Shields,R,,,,,,600,-2,9.5,-113,4.83,0.08,94,0.191,0.243,0.096,0.260,0.287,0.547,20.20,8.70,0.233,8.09,2.45
Guillermo Heredia,$2.7K,R,SEA,OF,DET,7 ,Matt Boyd,L,,,,,,600,-1,8.0,-187,4.64,-0.14,32,0.250,0.342,0.125,0.385,0.375,0.760,12.50,15.00,0.269,6.62,2.45
Jose Pirela,$3.0K,R,SDP,2B/OF,@ PIT,4 ,Chad Kuhl,R, ,,,,,600,5,8.0,128,3.67,-0.06,126,0.254,0.278,0.063,0.304,0.317,0.621,26.70,6.70,0.356,7.35,2.45
