Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Chris Owings,$2.8K,R,ARI,2B/OF,@ SFG,6 ,Derek Holland,L,,,,,,300,-10,7.5,-105,3.69,-0.25,62,0.177,0.221,0.097,0.215,0.274,0.489,28.80,7.60,0.238,7.3,2.61
Freddy Galvis,$2.7K,S,SDP,SS,ATL,6 ,Julio Teheran,R,,,,,,200, ,7.5,-106,3.81,0.11,150,0.220,0.262,0.067,0.292,0.287,0.579,20.80,10.10,0.282,6.69,2.48
Ian Kinsler,$3.5K,R,LAA,2B,KCR,1 ,Danny Duffy,L,,,,,,700,-2,8.5,-191,4.97,0.06,37,0.135,0.166,0.054,0.179,0.189,0.368,10.30,5.10,0.152,8.5,2.43
Ketel Marte,$2.9K,S,ARI,2B/SS,@ SFG,7 ,Derek Holland,L,,,,,,100,4,7.5,-105,3.69,-0.25,72,0.250,0.291,0.111,0.308,0.361,0.669,11.50,7.70,0.286,6.98,2.41
Jarrod Dyson,$2.9K,L,ARI,OF,@ SFG,8 ,Derek Holland,L, ,,,,,500,1,7.5,-105,3.69,-0.25,23,0.217,0.330,0.174,0.357,0.391,0.748,20.70,17.20,0.294,6.79,2.34
Charlie Culberson,$2.7K,R,ATL,3B/OF,@ SDP,7 ,Clayton Richard,L,,,,,,600,1,7.5,-107,3.69,-0.11,35,0.229,0.265,0.114,0.270,0.343,0.613,13.50,5.40,0.267,6.3,2.33
Paul Goldschmidt,$4.4K,R,ARI,1B,@ SFG,3 ,Derek Holland,L,,,,,,400,1,7.5,-105,3.69,-0.25,57,0.298,0.456,0.421,0.385,0.719,1.104,24.60,13.80,0.314,10.03,2.28
Joe Panik,$3.2K,L,SFG,2B,ARI,1 ,Zack Godley,R,,,,,,100,2,7.5,-107,3.81,-0.25,57,0.368,0.396,0.105,0.431,0.474,0.905,6.20,9.20,0.377,7.26,2.27
Cory Spangenberg,$2.9K,L,SDP,3B/OF,ATL,7 ,Julio Teheran,R,,,,,,700,-2,7.5,-106,3.81,0.11,67,0.209,0.258,0.134,0.254,0.343,0.597,31.90,4.20,0.286,6.51,2.24
Chris Young,$2.7K,R,LAA,OF,KCR,9 ,Danny Duffy,L,,,,,,600, ,8.5,-191,4.97,0.06,32,0.188,0.274,0.156,0.278,0.344,0.622,22.20,8.30,0.217,6.05,2.24
Zack Cozart,$3.5K,R,LAA,2B/3B,KCR,6 ,Danny Duffy,L,,,,,,600, ,8.5,-191,4.97,0.06,45,0.200,0.262,0.156,0.264,0.356,0.620,11.30,7.50,0.195,7.84,2.24
Nick Ahmed,$3.0K,R,ARI,SS,@ SFG,1 ,Derek Holland,L,,,,,,500,-1,7.5,-105,3.69,-0.25,55,0.291,0.390,0.327,0.328,0.618,0.946,17.20,5.20,0.293,6.65,2.22
Victor Martinez,$3.1K,S,DET,1B,NYY,4 ,Domingo German,R,,,,,,800,-3,10.0,173,4.14,0.22,111,0.252,0.289,0.108,0.306,0.360,0.666,9.50,8.70,0.260,6.72,2.17
Hunter Pence,$2.8K,R,SFG,OF,ARI,7 ,Zack Godley,R, ,,,,,800,-3,7.5,-107,3.81,-0.25,28,0.214,0.181,0,0.207,0.214,0.421,39.30,0.00,0.333,6.08,2.17
Justin Upton,$4.2K,R,LAA,OF,KCR,3 ,Danny Duffy,L,,,,,,600,1,8.5,-191,4.97,0.06,39,0.179,0.243,0.077,0.273,0.256,0.529,34.10,11.40,0.261,8.9,2.12
Travis Jankowski,$3.5K,L,SDP,OF,ATL,1 ,Julio Teheran,R,,,,,,1000,-4,7.5,-106,3.81,0.11,72,0.347,0.378,0.111,0.412,0.458,0.870,13.80,10.00,0.400,7.39,2.11
John Ryan Murphy,$3.8K,R,ARI,C,@ SFG,4 ,Derek Holland,L,,,,,,1300,-8,7.5,-105,3.69,-0.25,34,0.324,0.434,0.412,0.324,0.735,1.059,20.60,0.00,0.304,7.98,2.1
Jon Jay,$3.3K,L,KCR,OF,@ LAA,1 ,Nick Tropeano,R,,,,,,-100,9,8.5,173,3.53,-0.06,158,0.310,0.323,0.076,0.355,0.386,0.741,13.10,5.70,0.358,6.93,2.1
