Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Chris Davis,$2.5K,L,BAL,1B,SEA,5 ,Felix Hernandez,R,,,,,,400,-14,9.5,104,4.62,0.19,160,0.156,0.194,0.044,0.215,0.200,0.415,36.60,8.00,0.253,7.12,2.85
Victor Martinez,$2.9K,S,DET,1B,OAK,4 ,Edwin Jackson,R,,,,,,700,-10,9.5,101,4.65,-0.19,177,0.243,0.274,0.085,0.294,0.328,0.622,10.20,7.70,0.259,7.65,2.64
Matt Joyce,$3.2K,L,OAK,OF,@ DET,2 ,Jordan Zimmermann,R,,,,,,700,2,9.5,-116,4.85,0.19,155,0.200,0.297,0.161,0.300,0.361,0.661,23.50,14.20,0.231,7.92,2.48
Jorge Alfaro,$2.8K,R,PHI,C,NYY,8 ,Jonathan Loaisiga,R, ,,,,,500,-18,8.5,130,3.88,-0.29,131,0.252,0.290,0.130,0.285,0.382,0.667,38.80,3.60,0.405,6.89,2.46
Greg Garcia,$2.7K,L,STL,2B/SS,CLE,2 ,Mike Clevinger,R,,,,,,600,8,8.0,110,3.84,-0.23,77,0.273,0.305,0.065,0.341,0.338,0.679,17.80,11.10,0.333,6.59,2.44
Dexter Fowler,$2.9K,S,STL,OF,CLE,6 ,Mike Clevinger,R,,,,,,300,18,8.0,110,3.84,-0.23,170,0.182,0.272,0.135,0.278,0.318,0.596,18.90,11.70,0.202,6.9,2.38
Adam Jones,$3.5K,R,BAL,OF,SEA,2 ,Felix Hernandez,R, ,,,,,600,8,9.5,104,4.62,0.19,217,0.286,0.342,0.198,0.316,0.484,0.800,18.50,3.10,0.317,8.21,2.35
Justin Bour,$3.4K,L,MIA,1B,ARI,3 ,Shelby Miller,R,,,,,,400,8,8.0,112,3.81,-0.27,160,0.256,0.378,0.256,0.362,0.512,0.874,23.60,17.40,0.288,8,2.35
Luis Guillorme,$2.5K,L,NYM,2B/3B,PIT,8 ,Jameson Taillon,R,,,,,,500,11,7.5,101,3.67,-0.02,34,0.147,0.210,0.029,0.256,0.176,0.432,5.10,12.80,0.156,5.86,2.34
Jonathan Lucroy,$2.9K,R,OAK,C,@ DET,8 ,Jordan Zimmermann,R, ,,,,,600,-19,9.5,-116,4.85,0.19,140,0.286,0.318,0.1,0.336,0.386,0.722,14.90,6.50,0.333,6.74,2.32
Luis Valbuena,$3.3K,L,LAA,1B/3B,@ KCR,5 ,Brad Keller,R,,,,,,600,10,9.0,-171,5.11,0.34,177,0.215,0.271,0.153,0.254,0.367,0.621,32.80,5.80,0.275,7.5,2.27
Hunter Renfroe,$3.8K,R,SDP,OF,@ TEX,3 ,Cole Hamels,L,,,,,,1300,-22,9.5,115,4.5,0.32,43,0.256,0.358,0.233,0.340,0.488,0.828,25.50,11.80,0.333,8.62,2.27
Ian Kinsler,$3.8K,R,LAA,2B,@ KCR,1 ,Brad Keller,R, ,,,,,900,3,9.0,-171,5.11,0.34,193,0.233,0.318,0.197,0.306,0.430,0.736,9.70,8.80,0.218,8.64,2.27
