Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Logan Morrison,$3.3K,L,MIN,1B,@ CHW,5 ,Lucas Giolito,R,,,,,,700,4,9.5,-124,4.94,-0.07,171,0.175,0.280,0.175,0.272,0.351,0.623,18.30,11.20,0.172,9.32,2.82
Matt Olson,$4.0K,L,OAK,1B,@ DET,5 ,Michael Fulmer,R,,,,,,200,9,9.0,-115,4.58,0.16,196,0.235,0.350,0.255,0.321,0.490,0.811,26.50,10.80,0.260,9.63,2.41
Orlando Arcia,$2.7K,R,MIL,SS,@ CIN,8 ,Anthony DeSclafani,R, ,,,,,700,-5,9.0,-111,4.58,0.15,153,0.222,0.238,0.065,0.252,0.288,0.540,24.50,3.80,0.286,6.43,2.38
Robbie Grossman,$3.0K,S,MIN,OF,@ CHW,1 ,Lucas Giolito,R,,,,,,600,6,9.5,-124,4.94,-0.07,135,0.230,0.294,0.111,0.316,0.341,0.657,20.60,12.30,0.282,7.12,2.37
Ian Kinsler,$3.8K,R,LAA,2B,@ BOS,1 ,Brian Johnson,L,,,,,,700,2,10.5,132,4.78,-0.14,65,0.185,0.219,0.092,0.221,0.277,0.498,8.80,4.40,0.190,8.95,2.36
Dustin Fowler,$3.6K,L,OAK,OF,@ DET,1 ,Michael Fulmer,R,,,,,,800,-1,9.0,-115,4.58,0.16,110,0.264,0.312,0.155,0.299,0.418,0.717,19.50,5.10,0.298,8.34,2.32
Chris Herrmann,$2.6K,L,SEA,C/OF,@ BAL,7 ,Jimmy Yacabonis,R,,,,,,300,-15,10.5,-148,5.73,0.63,8,0.250,0.313,0,0.400,0.250,0.650,20.00,20.00,0.333,6,2.31
John Hicks,$3.2K,R,DET,1B/C,OAK,4 ,Sean Manaea,L,,,,,,700,2,9.0,-100,4.42,0.34,43,0.326,0.388,0.163,0.412,0.488,0.900,19.60,13.70,0.394,7.36,2.3
Logan Forsythe,$2.9K,R,LAD,2B/3B,CHC,7 ,Jose Quintana,L,,,,,,700,5,7.5,-175,4.28,-0.05,53,0.208,0.258,0.113,0.263,0.321,0.584,17.50,7.00,0.238,6.63,2.29
Chris Davis,$3.0K,L,BAL,1B,SEA,5 ,Mike Leake,R,,,,,,900,-8,10.5,132,4.77,0.37,165,0.158,0.203,0.061,0.219,0.218,0.437,37.60,7.70,0.253,6.84,2.28
Victor Martinez,$2.9K,S,DET,1B,OAK,5 ,Sean Manaea,L,,,,,,400,4,9.0,-100,4.42,0.34,62,0.242,0.276,0.113,0.277,0.355,0.632,12.10,6.10,0.250,6.59,2.27
Kevin Kiermaier,$3.2K,L,TBR,OF,HOU,1 ,Lance McCullers,R,,,,,,600,8,7.5,142,3.32,0.03,45,0.178,0.257,0.067,0.302,0.244,0.546,32.10,13.20,0.286,7.21,2.25
Mark Canha,$3.2K,R,OAK,OF,@ DET,2 ,Michael Fulmer,R, ,,,,,500,13,9.0,-115,4.58,0.16,114,0.211,0.282,0.114,0.291,0.325,0.616,25.40,10.80,0.278,7.17,2.24
Josh Reddick,$3.5K,L,HOU,OF,@ TBR,4 ,Ryne Stanek,R,,,,,,900,-3,7.5,-162,4.18,-0.03,138,0.268,0.328,0.109,0.356,0.377,0.733,14.80,13.00,0.295,7.81,2.23
Jake Marisnick,$2.8K,R,HOU,OF,@ TBR,9 ,Ryne Stanek,R, ,,,,,500,7,7.5,-162,4.18,-0.03,73,0.192,0.259,0.205,0.213,0.397,0.610,42.10,2.60,0.270,6.15,2.2
Nick Williams,$3.4K,L,PHI,OF,WAS,5 ,Tanner Roark,R,,,,,,1000,-5,8.0,-117,4.1,-0.23,143,0.224,0.319,0.224,0.293,0.448,0.741,24.50,8.20,0.250,7.45,2.19
Andrew Romine,$2.6K,S,SEA,2B/SS,@ BAL,9 ,Jimmy Yacabonis,R,,,,,,500,3,10.5,-148,5.73,0.63,47,0.149,0.192,0.021,0.231,0.170,0.401,31.50,7.40,0.233,5.66,2.18
Jose Iglesias,$3.2K,R,DET,SS,OAK,2 ,Sean Manaea,L,,,,,,500,1,9.0,-100,4.42,0.34,45,0.333,0.396,0.222,0.380,0.556,0.936,5.90,5.90,0.317,6.99,2.18
