Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
JaCoby Jones,$3.1K,R,DET,OF,@ OAK,1,Edwin Jackson,R, ,,,,,1000,-2,8.5,158,3.64,0.05,239,0.218,0.279,0.163,0.262,0.381,0.643,31.50,4.30,0.289,7.86,2.54
Logan Forsythe,$2.9K,R,MIN,2B/3B,KCR,7 ,Burch Smith,R, ,,,,,900,8,9.0,-218,5.45,0.22,110,0.236,0.280,0.091,0.303,0.327,0.630,18.90,9.00,0.287,7.02,2.42
Christian Villanueva,$3.0K,R,SDP,3B,@ CHC,7 ,Kyle Hendricks,R, ,,,,,400,5,10.5,213,4.05,4.05,214,0.178,0.248,0.136,0.238,0.313,0.551,24.70,5.20,0.212,7.19,2.4
Jonathan Villar,$3.9K,S,BAL,2B,@ TEX,1,Mike Minor,L,,,,,,1500,-7,10.5,128,4.83,0.05,50,0.300,0.380,0.24,0.352,0.540,0.892,27.80,7.40,0.375,9.27,2.38
Bobby Wilson,$2.8K,R,MIN,C,KCR,9 ,Burch Smith,R, ,,,,,800,-33,9.0,-218,5.45,0.22,85,0.165,0.209,0.094,0.215,0.259,0.474,22.10,6.30,0.200,6.64,2.37
Anthony Rizzo,$4.2K,L,CHC,1B,SDP,1 ,Walker Lockett,R,,,,,,400,7,10.5,-225,6.45,6.45,277,0.274,0.376,0.213,0.381,0.487,0.868,9.60,11.40,0.263,9.86,2.35
Victor Martinez,$3.0K,S,DET,1B,@ OAK,4,Edwin Jackson,R,,,,,,700,-2,8.5,158,3.64,0.05,242,0.240,0.275,0.079,0.297,0.318,0.615,9.80,7.50,0.255,6.98,2.33
Drew Butera,$2.5K,R,KCR,C,@ MIN,9 ,Jose Berrios,R, ,,,,,500,-29,9.0,195,3.55,0.28,88,0.205,0.241,0.080,0.255,0.284,0.539,19.10,5.30,0.246,5.8,2.32
Tim Beckham,$3.9K,R,BAL,3B/SS,@ TEX,2,Mike Minor,L,,,,,,800,3,10.5,128,4.83,0.05,48,0.271,0.358,0.188,0.364,0.458,0.822,23.60,12.70,0.333,8.88,2.28
Mark Trumbo,$3.9K,R,BAL,OF,@ TEX,4,Mike Minor,L,,,,,,900,12,10.5,128,4.83,0.05,79,0.253,0.314,0.152,0.314,0.405,0.719,20.90,7.00,0.293,8.89,2.28
Nick Castellanos,$3.8K,R,DET,OF,@ OAK,2,Edwin Jackson,R, ,,,,,900,16,8.5,158,3.64,0.05,318,0.252,0.319,0.182,0.304,0.434,0.738,24.00,5.80,0.313,8.58,2.26
Carlos Tocci,$3.2K,R,TEX,OF,BAL,9 ,Dylan Bundy,R, ,,,,,1200,-13,10.5,-142,5.67,-0.05,50,0.140,0.185,0.06,0.204,0.200,0.404,41.80,5.50,0.259,7.2,2.25
Adrian Beltre,$3.7K,R,TEX,3B,BAL,4 ,Dylan Bundy,R, ,,,,,1000,-1,10.5,-142,5.67,-0.05,208,0.274,0.317,0.120,0.328,0.394,0.722,20.30,6.90,0.323,8.32,2.25
Eddie Rosario,$4.7K,L,MIN,OF,KCR,2 ,Burch Smith,R,,,,,,1600,-12,9.0,-218,5.45,0.22,292,0.308,0.383,0.229,0.357,0.538,0.895,17.50,7.00,0.335,10.52,2.24
Jorge Polanco,$4.1K,S,MIN,SS,KCR,3 ,Burch Smith,R,,,,,,1300,-5,9.0,-218,5.45,0.22,64,0.359,0.417,0.125,0.468,0.484,0.952,20.80,15.60,0.479,9.19,2.24
Shane Robinson,$2.7K,R,NYY,OF,@ BOS,9 ,Nathan Eovaldi,R, ,,,,,700,-1,9.5,134,4.31,-0.23,9,0.333,0.449,0.333,0.400,0.667,1.067,0.00,10.00,0.250,5.97,2.21
Carlos Santana,$4.1K,S,PHI,1B,MIA,4 ,Jose Urena,R,,,,,,500,15,8.5,-159,4.73,-0.04,271,0.203,0.331,0.173,0.358,0.376,0.734,15.90,19.90,0.209,9,2.2
Ian Happ,$3.9K,S,CHC,OF,SDP,6 ,Walker Lockett,R,,,,,,1300,-11,10.5,-225,6.45,6.45,192,0.255,0.374,0.203,0.392,0.458,0.850,33.80,18.10,0.385,8.56,2.19
Matt Olson,$4.2K,L,OAK,1B,DET,5,Jordan Zimmermann,R,,,,,,700,3,8.5,-176,4.86,-0.05,270,0.237,0.356,0.252,0.333,0.489,0.822,24.90,11.30,0.263,9.07,2.16
Logan Morrison,$3.9K,L,MIN,1B,KCR,4 ,Burch Smith,R,,,,,,1200,-5,9.0,-218,5.45,0.22,220,0.182,0.300,0.209,0.285,0.391,0.676,19.80,10.70,0.171,8.41,2.16
Anthony Rendon,$4.3K,R,WAS,3B,CIN,3 ,Matt Harvey,R, ,,,,,400,3,10.0,-166,5.65,-0.07,247,0.271,0.350,0.211,0.335,0.482,0.817,14.90,9.10,0.279,9.24,2.15
Cory Spangenberg,$3.1K,L,SDP,2B/3B,@ CHC,8 ,Kyle Hendricks,R,,,,,,1100,4,10.5,213,4.05,4.05,164,0.250,0.295,0.140,0.289,0.390,0.679,31.40,4.00,0.346,6.64,2.14
Adam Jones,$4.0K,R,BAL,OF,@ TEX,3,Mike Minor,L,,,,,,1000,8,10.5,128,4.83,0.05,115,0.287,0.290,0.078,0.303,0.365,0.668,9.20,2.50,0.308,8.46,2.12
Mason Williams,$3.4K,L,CIN,OF,@ WAS,5 ,Jeremy Hellickson,R,,,,,,1300,-14,10.0,153,4.35,0.07,18,0.333,0.358,0.167,0.333,0.500,0.833,25.00,0.00,0.417,7.22,2.12
Jake Cave,$3.2K,L,MIN,OF,KCR,8 ,Burch Smith,R,,,,,,900,1,9.0,-218,5.45,0.22,90,0.300,0.342,0.178,0.326,0.478,0.804,25.00,4.20,0.385,6.76,2.11
Wilmer Flores,$3.7K,R,NYM,1B/3B,ATL,2 ,Kevin Gausman,R, ,,,,,700,12,8.0,111,3.83,-0.05,167,0.293,0.366,0.234,0.342,0.527,0.869,9.10,7.50,0.274,7.77,2.1
Nick Hundley,$3.1K,R,SFG,C,@ ARI,5,Clay Buchholz,R, ,,,,,1000,-38,8.5,119,3.99,0.04,93,0.226,0.281,0.161,0.265,0.387,0.652,30.60,5.10,0.300,6.5,2.1
Michael Brantley,$4.4K,L,CLE,OF,LAA,2 ,Felix Pena,R,,,,,,1000,7,8.5,-228,5.21,-0.04,291,0.309,0.367,0.192,0.355,0.502,0.857,8.20,6.90,0.312,9.26,2.1
Kevin Kiermaier,$3.6K,L,TBR,OF,CHW,1 ,Carlos Rodon,L, ,,,,,600,29,7.0,-138,3.75,-0.5,49,0.163,0.255,0.184,0.241,0.347,0.588,29.60,9.30,0.219,7.53,2.09
Isaac Galloway,$2.8K,R,MIA,OF,@ PHI,8 ,Zach Eflin,R, ,,,,,800,-3,8.5,143,3.77,0.04,1,1.000,0.879,0,1.000,1.000,2.000,0.00,0.00,1.000,5.84,2.09
Jose Peraza,$3.9K,R,CIN,SS,@ WAS,1 ,Jeremy Hellickson,R, ,,,,,1200,-7,10.0,153,4.35,0.07,303,0.290,0.326,0.109,0.343,0.399,0.742,12.50,6.20,0.323,8.14,2.09
Asdrubal Cabrera,$4.1K,S,PHI,2B/SS,MIA,5 ,Jose Urena,R,,,,,,900, ,8.5,-159,4.73,-0.04,274,0.270,0.358,0.237,0.331,0.507,0.838,21.40,8.00,0.306,8.55,2.09
Kyle Schwarber,$3.8K,L,CHC,OF,SDP,5 ,Walker Lockett,R,,,,,,400,41,10.5,-225,6.45,6.45,252,0.250,0.385,0.270,0.365,0.520,0.885,25.80,15.60,0.280,7.93,2.09
