Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Jay Bruce,$3.1K,L,NYM,OF,@ ATL,4 ,Julio Teheran,R,,,,,,1100,-15,9.0,131,4.11,-0.09,152,0.224,0.286,0.118,0.289,0.342,0.631,18.00,11.60,0.263,8.84,2.85
Guillermo Heredia,$2.8K,R,SEA,OF,TEX,2 ,Matt Moore,L,,,,,,800,-3,7.5,-256,4.73,-0.19,65,0.185,0.243,0.077,0.270,0.262,0.532,19.50,9.10,0.220,7.48,2.67
Noel Cuevas,$3.6K,R,COL,OF,SFG,2 ,Derek Holland,L,,,,,,600,12,10.5,-153,5.79,-0.82,55,0.273,0.276,0.055,0.298,0.327,0.625,7.00,1.80,0.280,9.23,2.56
Max Kepler,$3.3K,L,MIN,OF,@ KCR,6 ,Brad Keller,R,,,,,,1000,-11,9.0,-140,4.84,0.05,179,0.196,0.275,0.128,0.287,0.324,0.611,13.70,12.30,0.216,8.33,2.52
Greg Allen,$2.8K,S,CLE,OF,CHW,1 ,Reynaldo Lopez,R,,,,,,600,1,9.0,-268,5.73,0.17,82,0.195,0.249,0.122,0.250,0.317,0.567,27.30,5.70,0.263,6.97,2.49
Justin Smoak,$3.3K,S,TOR,1B,@ BOS,4 ,Eduardo Rodriguez,L,,,,,,600,-1,9.0,160,3.85,-0.39,91,0.286,0.350,0.132,0.377,0.418,0.795,22.60,11.30,0.364,8.02,2.43
Victor Martinez,$3.1K,S,DET,1B,LAA,4 ,Shohei Ohtani,R,,,,,,1000,-17,8.5,205,3.27,-0.4,177,0.243,0.274,0.085,0.294,0.328,0.622,10.20,7.70,0.259,7.5,2.42
Robert Refsnyder,$2.6K,R,TBR,OF,@ OAK,5 ,Sean Manaea,L,,,,,,600,4,8.0,110,3.84,0.38,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.24,2.4
Daniel Castro,$3.2K,R,COL,2B,SFG,7 ,Derek Holland,L,,,,,,200,18,10.5,-153,5.79,-0.82,11,0.455,0.506,0.273,0.455,0.727,1.182,10.00,0.00,0.444,7.6,2.38
Miguel Rojas,$2.9K,R,MIA,3B/SS,@ SDP,1 ,Clayton Richard,L,,,,,,400,-1,7.0,111,3.35,-0.2,67,0.224,0.282,0.104,0.293,0.328,0.621,11.80,9.20,0.228,6.85,2.36
Jarrod Dyson,$3.3K,L,ARI,OF,CIN,1 ,Sal Romano,R,,,,,,1000,-11,8.0,-185,4.64,-0.37,146,0.171,0.227,0.068,0.244,0.240,0.484,12.80,11.00,0.187,7.77,2.35
Eric Sogard,$2.5K,L,MIL,2B/SS,STL,7 ,Alex Reyes,R,,,,,,500,14,8.5,-100,4.18,-0.17,81,0.148,0.208,0.049,0.242,0.198,0.440,19.40,9.70,0.190,5.84,2.34
