Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Yadiel Rivera,$2.0K,R,MIA,2B/SS,ATL,8 ,Sean Newcomb,L,,,,,, ,9,8.0,129,3.67,-0.13,11,0.182,0.243,0.000,0.308,0.182,0.490,0.31,0.15,0.286,5.63,2.82
Omar Narvaez,$2.2K,L,CHW,C,@ CHC,8 ,Kyle Hendricks,R,,,,,,200,-22,8.5,235,3.07,3.07,43,0.186,0.244,0.070,0.271,0.256,0.527,0.23,0.10,0.250,5.98,2.72
Craig Gentry,$2.4K,R,BAL,OF,TBR,8 ,Blake Snell,L,,,,,,400, ,8.5,-119,4.12,-0.46,23,0.130,0.210,0.087,0.231,0.217,0.448,0.27,0.12,0.188,6.51,2.71
Brandon Guyer,$2.8K,R,CLE,OF,KCR,5 ,Danny Duffy,L,,,,,,600,-2,8.0,-263,5.07,-0.07,39,0.231,0.350,0.256,0.318,0.487,0.805,0.16,0.11,0.233,7.38,2.64
Caleb Joseph,$2.4K,R,BAL,C,TBR,9 ,Blake Snell,L,,,,,,400,-26,8.5,-119,4.12,-0.46,28,0.214,0.233,0.072,0.241,0.286,0.527,0.21,0.03,0.273,6.25,2.6
Jackie Bradley,$2.7K,L,BOS,OF,@ TOR,9 ,Joseph Biagini,R,,,,,,500,4,9.5,-131,5.02,0.03,80,0.200,0.271,0.125,0.278,0.325,0.603,0.22,0.10,0.237,7,2.59
Joey Rickard,$2.4K,R,BAL,OF,TBR,7 ,Blake Snell,L,,,,,,400, ,8.5,-119,4.12,-0.46,3,0.333,0.454,-0.000,0.600,0.333,0.933,0.20,0.40,0.500,6.16,2.57
Nicky Delmonico,$2.8K,L,CHW,OF,@ CHC,4 ,Kyle Hendricks,R,,,,,,500,7,8.5,235,3.07,3.07,85,0.235,0.289,0.071,0.323,0.306,0.629,0.19,0.12,0.288,7.19,2.57
Guillermo Heredia,$2.6K,R,SEA,OF,@ DET,9 ,Blaine Hardy,L,,,,,,500,4,8.5,-230,5.2,0.27,26,0.269,0.374,0.154,0.406,0.423,0.829,0.09,0.19,0.273,6.63,2.55
Jose Martinez,$3.5K,R,STL,1B,@ SDP,3 ,Clayton Richard,L,,,,,,100,18,8.5,-125,4.44,-0.01,25,0.280,0.361,0.120,0.400,0.400,0.800,0.17,0.17,0.350,8.83,2.52
Freddy Galvis,$2.6K,S,SDP,SS,STL,7 ,Adam Wainwright,R,,,,,,300, ,8.5,112,4.06,0.01,96,0.208,0.249,0.032,0.294,0.240,0.534,0.23,0.11,0.278,6.52,2.51
Jonathan Villar,$3.8K,S,MIL,2B,@ COL,6 ,Jon Gray,R,,,,,,600,-1,10.5,141,4.68,4.68,82,0.293,0.307,0.061,0.333,0.354,0.687,0.31,0.06,0.426,9.52,2.51
Alex Avila,$2.5K,L,ARI,C,WAS,7 ,Jeremy Hellickson,R,,,,,,500,-29,8.5,-124,4.43,0.3,56,0.161,0.235,0.107,0.242,0.268,0.510,0.50,0.10,0.304,6.23,2.49
Ronald Torreyes,$2.8K,R,NYY,2B/3B,OAK,9 ,Brett Anderson,L,,,,,,600,9,8.5,-307,5.59,0.01,9,0.222,0.197,-0.000,0.222,0.222,0.444,0.33,0.00,0.333,6.92,2.47
Carlos Gonzalez,$3.9K,L,COL,OF,MIL,5 ,Freddy Peralta,R,,,,,,600,3,10.5,-156,5.82,5.82,58,0.259,0.351,0.293,0.286,0.552,0.838,0.22,0.05,0.262,9.65,2.47
Christian Vazquez,$2.4K,R,BOS,C,@ TOR,8 ,Joseph Biagini,R, ,,,,,400,-26,9.5,-131,5.02,0.03,74,0.176,0.187,0.027,0.208,0.203,0.411,0.18,0.04,0.217,5.82,2.43
Nelson Cruz,$4.3K,R,SEA,OF,@ DET,4 ,Blaine Hardy,L,,,,,,600,3,8.5,-230,5.2,0.27,33,0.212,0.329,0.243,0.297,0.455,0.752,0.16,0.11,0.200,10.37,2.41
Trevor Story,$4.5K,R,COL,SS,MIL,6 ,Freddy Peralta,R, ,,,,,100,2,10.5,-156,5.82,5.82,89,0.213,0.314,0.236,0.280,0.449,0.729,0.29,0.09,0.246,10.8,2.4
Cameron Maybin,$2.9K,R,MIA,OF,ATL,1 ,Sean Newcomb,L,,,,,,800,-12,8.0,129,3.67,-0.13,32,0.312,0.347,0.126,0.353,0.438,0.791,0.15,0.06,0.370,6.92,2.39
Drew Butera,$2.3K,R,KCR,C,@ CLE,9 ,Corey Kluber,R, ,,,,,300,-23,8.0,229,2.93,0.07,39,0.205,0.256,0.077,0.279,0.282,0.561,0.19,0.09,0.258,5.44,2.37
Paul Goldschmidt,$4.2K,R,ARI,1B,WAS,3 ,Jeremy Hellickson,R, ,,,,,400,3,8.5,-124,4.43,0.3,97,0.175,0.273,0.114,0.298,0.289,0.587,0.33,0.15,0.271,9.93,2.36
Matt Joyce,$2.8K,L,OAK,OF,@ NYY,2 ,Luis Severino,R,,,,,,200,17,8.5,260,2.91,-0.01,95,0.200,0.319,0.158,0.342,0.358,0.700,0.22,0.18,0.239,6.58,2.35
Jose Osuna,$3.0K,R,PIT,1B/OF,SFG,2 ,Derek Holland,L,,,,,,900,-42,9.0,-152,4.95,0.37,6,0.333,0.700,1.000,0.333,1.333,1.666,0.33,0.00,0.000,7.05,2.35
Carson Kelly,$2.5K,R,STL,C,@ SDP,7 ,Clayton Richard,L,,,,,,500,-29,8.5,-125,4.44,-0.01,5,0.000,0.000,0.000,0.000,0.000,0.000,0.60,0.00,0.000,5.85,2.34
Rajai Davis,$2.7K,R,CLE,OF,KCR,9 ,Danny Duffy,L,,,,,,400,13,8.0,-263,5.07,-0.07,30,0.167,0.160,0.000,0.188,0.167,0.355,0.16,0.03,0.192,6.28,2.33
Adam Engel,$2.8K,R,CHW,OF,@ CHC,1 ,Kyle Hendricks,R, ,,,,,800,-13,8.5,235,3.07,3.07,53,0.189,0.223,0.019,0.267,0.208,0.475,0.33,0.10,0.294,6.49,2.32
