Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,James Paxton (11070797),James Paxton,11070797,P,10600,SEA@OAK 08/13/2018 10:05PM ET,SEA,22.24
SP,Clayton Kershaw (11070656),Clayton Kershaw,11070656,P,10000,SF@LAD 08/13/2018 10:10PM ET,LAD,17.89
SP,Madison Bumgarner (11070667),Madison Bumgarner,11070667,P,9900,SF@LAD 08/13/2018 10:10PM ET,SF,17.33
RP,Dereck Rodriguez (11070715),Dereck Rodriguez,11070715,P,9200,SF@LAD 08/13/2018 10:10PM ET,SF,17.36
SP,Hyun-Jin Ryu (11070739),Hyun-Jin Ryu,11070739,P,8900,SF@LAD 08/13/2018 10:10PM ET,LAD,17.22
SP,Alex Wood (11070727),Alex Wood,11070727,P,8500,SF@LAD 08/13/2018 10:10PM ET,LAD,15.1
SP,Andrew Heaney (11070564),Andrew Heaney,11070564,P,8400,LAA@SD 08/13/2018 10:10PM ET,LAA,17.04
SP,Tyler Skaggs (11070558),Tyler Skaggs,11070558,P,8200,LAA@SD 08/13/2018 10:10PM ET,LAA,16.59
SP,Johnny Cueto (11070653),Johnny Cueto,11070653,P,8100,SF@LAD 08/13/2018 10:10PM ET,SF,14.54
SP,Trevor Cahill (11070774),Trevor Cahill,11070774,P,8000,SEA@OAK 08/13/2018 10:05PM ET,OAK,16.86
RP,Walker Buehler (11070736),Walker Buehler,11070736,P,7700,SF@LAD 08/13/2018 10:10PM ET,LAD,17.27
SP,Derek Holland (11070663),Derek Holland,11070663,P,7600,SF@LAD 08/13/2018 10:10PM ET,SF,12.86
SP,Marco Gonzales (11070820),Marco Gonzales,11070820,P,7600,SEA@OAK 08/13/2018 10:05PM ET,SEA,16.68
SP,Garrett Richards (11070559),Garrett Richards,11070559,P,7500,LAA@SD 08/13/2018 10:10PM ET,LAA,15.27
SP,Dinelson Lamet (11070618),Dinelson Lamet,11070618,P,7300,LAA@SD 08/13/2018 10:10PM ET,SD,0
RP,Wade LeBlanc (11070773),Wade LeBlanc,11070773,P,7300,SEA@OAK 08/13/2018 10:05PM ET,SEA,12.5
SP,Sean Manaea (11070848),Sean Manaea,11070848,P,7300,SEA@OAK 08/13/2018 10:05PM ET,OAK,15.19
SP,Rich Hill (11070645),Rich Hill,11070645,P,7200,SF@LAD 08/13/2018 10:10PM ET,LAD,15.12
RP,Ross Stripling (11070716),Ross Stripling,11070716,P,7200,SF@LAD 08/13/2018 10:10PM ET,LAD,12.34
SP,Mike Fiers (11070801),Mike Fiers,11070801,P,7100,SEA@OAK 08/13/2018 10:05PM ET,OAK,14.1
SP,Kenta Maeda (11070665),Kenta Maeda,11070665,P,7000,SF@LAD 08/13/2018 10:10PM ET,LAD,15.48
SP,Matt Shoemaker (11070556),Matt Shoemaker,11070556,P,6800,LAA@SD 08/13/2018 10:10PM ET,LAA,13.95
SP,Andrew Triggs (11070818),Andrew Triggs,11070818,P,6700,SEA@OAK 08/13/2018 10:05PM ET,OAK,12.02
